"","Proposal.No.","File.No.","Project.Name","Company","Proposal.Status","Project.Type","View"
"1","SIA/HR/IND2/52046/2020","SEIAA/HR/2020/266","M/s Gayatri Industries","M/S GAYATRI INDUSTRIES","TOR GRANTED","TOR",NA
"2","SIA/HR/IND2/55031/2020","SEIAA/HR/2020/304 hard copy to be submitted","Expansion & Modernization of sugar plant  from 2200TCD to 3500 TCD (expandable to 5000 TCD) at Village- Sheikhpura Jagir, Tehsil & District- Karnal, Haryana by M/s The Karnal Co-Operative Sugar Mills Ltd.","KARNAL CO-OPERATIVE SUGAR MILL LTD","TOR GRANTED","TOR",NA
"3","SIA/HR/THE/55040/2020","SEIAA/HR/2020/303 hard copy to be submitted","Proposed 18MW Cogeneration power plant at village- Sheikhpura  Jagir, Tehsil & District- Karnal ,  Haryana by M/s The Karnal Co-Operative Sugar Mills Ltd","KARNAL CO-OPERATIVE SUGAR MILL LTD","TOR Granted","TOR",NA
"4","SIA/HR/NCP/53081/2020","SEIAA/HR/2020/270 hard copy to be submitted","Expansion of “SGT University” (Medical College cum Hospital and Research Institute) at Village-Budhera Dist.-Gurugram, Haryana","M/S DASHMESH EDUCATIONAL CHARITABLE TRUST","TOR GRANTED","TOR",NA
"5","SIA/HR/NCP/22988/2018","SEIAA/HR/VIO/18/13 dated 19.04.2018. Please submit","Expansion of Group Housing Project ""Parsvnath Exotica Phase-II"" at village Wazirabad, Sector-53, Gurugram.","PARSVNATH DEVELOPERS LTD","TOR Granted - Processed offline","TOR",NA
"6","SIA/HR/NCP/22989/2018","SEIAA/HR/VIO/18/11 dated 19.04.2018. Please submit","Construction of Proposed Integrated Residential Colony (Plotted & Group Housing) “SUSHANT CITY /ROYALE” at Sector-35/36, Karnal, Haryana","M/S ANSAL LANDMARK (KARNAL) TOWNSHIP PRIVATE LIMITED.","TOR Granted - Processed offline","TOR",NA
"7","SIA/HR/NCP/22990/2018","SEIAA/HR/VIO/18/10 dated 17.04.2018.","EC of Residential Project “Vipul Gardens” located in Sector-1, Village-Dharuhera, District–Rewari, Haryana","MUDRA FINANCE LTD","TOR Granted - Processed offline","TOR",NA
"8","SIA/HR/NCP/22991/2018","SEIAA/HR/VIO/18/09 dated 17.04.2018. Please submit","Group Housing Colony","RESOLVE ESTATE PRIVATE LIMITED","TOR Granted - Processed offline","TOR",NA
"9","SIA/HR/NCP/22996/2018","SEIAA/HR/VIO/18/06 dated 16.04.2018. Please submit","Commercial Complex “JMD The Regent” at village  Nangli Umarpur, Sector-62,Gurugram, Haryanaby M/s. JMD Limited","JMD LIMITED","TOR Granted - Processed offline","TOR",NA
"10","SIA/HR/NCP/22999/2018","SEIAA/HR/VIO/18/05 dated 16.04.2018. Please submit","Warehouse Project by M/s India Land and Space Logistics Pvt. Ltd.","INDIA LAND AND SPACE LOGISTICS PVT. LTD.","TOR Granted - Processed offline","TOR",NA
"11","SIA/HR/MIS/19498/2017","SEIAA/HR/17/333 dated 13.06..2017","Common Bio-Medical Waste Treatment Facility","GOLDEN EAGLE WASTE MANAGEMENT COMPANY","TOR Granted - Processed offline","TOR",NA
"12","SIA/HR/NCP/57457/2020","SEIAA/HR/2020/329 hard copy to be s ubmitted","Proposed Development of  Industrial Estate (Phase-II) at Sector- 30, 30-A, 31 & 32 at Manakpur, Jagadhri Haryana by Haryana Industrial and Infrastructure Development Corporation Ltd.","HARYANA INDUSTRIAL AND INFRASTRUCTURE DEVELOPMENT CORPORATION LTD.","WithdrawTOR","TOR",NA
"13","SIA/HR/IND/21404/2017","To be assigned","MITSUBA SICAL INDIA LTD","MITSUBA SICAL INDIA LTD","Delisted","TOR",NA
"14","SIA/HR/MIS/18436/2017","SEIAA/HR/17/319 dated 16.02.2017","Construction of 4.0 MLD Sewerage Plant   Public Health Engineering Division-III, Palwal, Haryana","PUBLIC HEALTH ENGG DIVISION","TOR Granted - Processed offline","TOR",NA
"15","SIA/HR/NCP/23002/2018","SEIAA/HR/VIO/18/02 dated 16.04.2018. Please submit","Group Housing Project By M/s Golden Glow Estates Pvt. Ltd.","GOLDEN GLOW ESTATE","TOR Granted - Processed offline","TOR",NA
"16","SIA/HR/NCP/23004/2018","SEIAA/HR/VIO/18/01 dated 16.04.2018. Please submit","Modification and Expansion of Group Housing Project ""Atharva""","RAHEJA DEVELOPERS LIMITED","TOR Granted - Processed offline","TOR",NA
"17","SIA/HR/NCP/23382/2018","SEIAA/HR/VIO/18/12 dated 19.04.2018. Please submit","Expansion of Residential Colony “Vatika India Next” being developed by M/s Vatika Ltd.","VATIKA LIMITED","TOR Granted - Processed offline","TOR",NA
"18","SIA/HR/NCP/23383/2018","SEIAA/HR/VIO/18/08 dated 16.04.2018. Please submit","Residential Plotted Colony along with Group Housing Component by M/s Malibu Estate Pvt Ltd.","MALIBU ESTATE PVT LTD","TOR Granted - Processed offline","TOR",NA
"19","SIA/HR/NCP/23384/2018","SEIAA/HR/VIO/18/07 dated 16.04.2018. Please submit","Ramprastha Promoters & Developers Pvt. Ltd.","RAMPRASTHA PROMOTERS & DEVELOPERS PVT. LTD.","TOR Granted - Processed offline","TOR",NA
"20","SIA/HR/MIS/67241/2021","SEIAA/HR/2021/464","Proposed Common Biomedical Waste Treatment Facility (CBWTF) at Plot No.2, Sector-27C, Faridabad, Haryana by M/s. Cosmics Waste Solutions LLP","M/S COSMIC WASTE SOLUTIONS LLP","TOR GRANTED","TOR",NA
"21","SIA/HR/IND2/4412/2015","SEIAA/HR/15/242 dated 20.11.2015.","Suntril Pharmaceuticals Pvt. Ltd.","SUNTRIL PHARMACEUTICALS PVT LTD","TOR Granted - Processed offline","TOR",NA
"22","SIA/HR/NCP/11032/2016","To be assigned","Educational Project “BPS Mahila Vishwavidyalaya” located at Khanpur Kalan, Sonipat, Haryana.","BHAGAT PHOOL SINGH MAHILA VISHWAVIDYALAYA","Delisted","TOR",NA
"23","SIA/HR/MIS/63304/2021","SEIAA/HR/2021/409 Hard copy to be submitted by the","“Affordable Plotted Housing Colony under Deen Dayal Jan Awas Yojana (DDJAY) over land area measuring 26.957 acres in Sector 93, Village Hayatpur, Sub Tehsil Hasaru, District Gurugram","M/S DLF LIMITED","TOR Granted","TOR",NA
"24","SIA/HR/IND3/63318/2021","SEIAA/HR/2021/413.","Manufacturing of Formaldehyde 80 TPD at Plot No. 83, Sec-1, Phase-I, Growth Centre Saha (Approved Industrial Area), Ambala, Haryana by M/s Gayatri Industries.","M/S GAYATRI INDUSTRIES","TOR GRANTED","TOR",NA
"25","SIA/HR/IND3/63305/2021","SEIAA/HR/2021/414","Capacity Expansion of Formaldehyde Manufacturing Unit in existing facility from 100 TPD to 120 TPD at Plot No. M-28 & E-57, Industrial area Yamunanagar, Haryana by M/s Globe Panel Industries India Pvt. Ltd., Unit-III","M/S GLOBE PANEL INDUSTRIES INDIA PVT. LTD. UNIT-III","TOR GRANTED","TOR",NA
"26","SIA/HR/IND3/63311/2021","SEIAA/HR/2021/416 hard copy to be submitted","Environment Clearance for Capacity Expansion of Formaldehyde Manufacturing Unit in Existing Facility from 80 TPD to 250 TPD at Plot No.211, HSIIDC Industrial Estate, Manakpur, Jagadhri, Distt. Yamuna Nagar (H.R) by M/s Sanwaria Polymer Industries Pvt. Ltd.","M/S SANWARIA POLYMERS INDUSTRIES PVT. LTD.","TOR GRANTED","TOR",NA
"27","SIA/HR/NCP/21846/2018","SEIAA/HR/18/389 dated 16.02.2018. Please submit th","Expansion of Commercial Cum Residential Colony (Mix Land Use), at Sector 79, Omaxe City Centre, Faridabad, Haryana","ROBUST BUILDWELL PVT LTD","TOR Granted - Processed offline","TOR",NA
"28","SIA/HR/NCP/53358/2020","SEIAA/HR/2020/282 hard copy to be submitted","Proposed Construction of Road & Parking in Sector- 25 (Resi.), Rohtak","HUDA ROHTAK","TOR Granted - Processed offline","TOR",NA
"29","SIA/HR/MIN/9447/2016","File no. SEIAA/HR/MIN/16/142 dated 17.03.2016. Har","River Sand (Minor Mineral) Mining Project for River Yamuna in Yamuna Nagar District of Haryana","MS ELITE MINING CORPORATION","TOR Granted","TOR",NA
"30","SIA/HR/NCP/22740/2018","SEIAA/HR/18/401 dated 10.04.2018. Please submit th","Expansion and Modification of Residential plotted             Colony by M/s Jai Krishna Artec JV","JAI KRISHNA ARTEC JV","TOR Granted - Processed offline","TOR",NA
"31","SIA/HR/NCP/25690/2018","SEIAA/HR/18/ 404 dated 23.04.2018. Please submit t","Global City Project in Haryana under DMIC Project","DMIC HARYANA GLOBAL CITY PROJECT LIMITED","TOR Granted - Processed offline","TOR",NA
"32","SIA/HR/NCP/22586/2018","SEIAA/HR/VIO/18/17 dated 19.04.2018. Please submit","Township residential & Commercial Complexes","CMD PARDESI DEVELOPERS PVT LTD","TOR Granted - Processed offline","TOR",NA
"33","SIA/HR/NCP/25009/2018","SEIAA/HR/VIO/18/22 dated 23.04.2018. Please submit","Expansion of Commercial Cum Residential Colony (Mix Land Use), at Sector 79, Omaxe City Centre, Faridabad, Haryana","ROBUST BUILDWELL PVT LTD","TOR Granted - Processed offline","TOR",NA
"34","SIA/HR/MIN/52471/2020","SEIAA/HR/MIN/19/11 hard copy to be submitted","Capacity Enhancement from 81,66,000 TPA To 1,20,00,000 TPA  for Mining of “Stone” along with Associated Minor Minerals and Mineral Beneficiation & Processing Unit (2X300TPH) at Village Kheribattar Plot-2, Tehsil-Dadri, District Charkhi Dadri, Haryana by M/s ASD-RKC J.V","M/S ASD-RKC J.V.","TOR GRANTED","TOR",NA
"35","SIA/HR/MIS/55094/2020","SEIAA/HR/2020/302 hard copy to be submitted","proposed 6 MLD CETP (3 MLD at Phase-I and 3 MLD at Phase-II)","HARYANA STATE INDUSTRIAL AND INFRASTRUCTURE DEVELOPMENT CORPORATION LIMITED (HSIIDC),","TOR Granted","TOR",NA
"36","SIA/HR/NCP/22498/2018","SEIAA/HR/VIO/18/14 dated 19.04.2018. Please submit","Expansion of “Artemis Hospital”","ARTEMIS MEDICARE SERVICES LIMITED","TOR Granted - Processed offline","TOR",NA
"37","SIA/HR/MIS/22516/2018","SEIAA/HR/VIO/18/15 dated 19.04.2018.","Common effluent treatment plant proposed by HSIIDC – Manesar for phase III and IV of 25 MLD and up-gradation of Phase I and II CETP plant from 15 MLD to 30 MLD","HSIIDC LTD IMT MANESAR GURGAON","TOR Granted - Processed offline","TOR",NA
"38","SIA/HR/NCP/17040/2016","To be assigned","EXPANSION OF IT PARK","EXPANSION OF IT PARK PROJECT","Delisted","TOR",NA
"39","SIA/HR/MIN/4608/2015","To be assigned","Mining of Stone along with Associated Minor Minerals at Bakhrija Plot-4, Tehsil-Naranul, District-Mahendergarh, Haryana by M/s Gradient Business Consulting Pvt. Ltd.","GRADIENT BUSINESS CONSULTING PVT LTD","Delisted","TOR",NA
"40","SIA/HR/MIN/4634/2015","SEIAA/HR/MIN/15/132 dated 01.12.2015. You are advi","Kheribattar Plot No.-2 Stone Mine","ASD RKC JV","TOR Granted","TOR",NA
"41","SIA/HR/MIS/17450/2016","File no. SEIAA/HR/16/305 dated 21.11.2016. Please","Common effluent treatment plant proposed by HSIIDC –Manesar for phase III and IV of 25 MLD and up-gradation of Phase I and II CETP plant from 15 MLD to 30 MLD","HSIIDC","Delisted","TOR",NA
"42","SIA/HR/MIS/61677/2021","SEIAA/HR/2021/385 hard copy to be submitted","Proposed Affordable Residential Plotted Colony under DDJAY Policy on land measuring 57.50625 acres in the revenue estate of village- Hayatpur, Sector-89, Gurugram, Haryana","M/S ADHIKAANSH REALTORS PRIVATE LIMITED","TOR Granted","TOR",NA
"43","SIA/HR/MIS/64778/2021","file No. SEIAA/HR/2021/449 has been assigned","Establishment of Solid Waste Management facility at Meghpur village, Palwal, Haryana","M/S PATHEYA","TOR Granted","TOR",NA
"44","SIA/HR/NCP/4355/2015","SEIAA/HR/15/241 dated 19.11.2015","Residential Plotted Colony","ST PATRICKS REALTY PRIVATE LIMITED","TOR Granted","TOR",NA
"45","SIA/HR/NCP/10808/2016","File no. SEIAA/HR/16/273 Dated 27.04.2016","Expansion of Group Housing","OASIS BUILD HOME PVT LTD","TOR Granted","TOR",NA
"46","SIA/HR/NCP/20038/2017","SEIAA/HR/17/343 dated 01.09.2017. Please submit th","AALISHAN ECO TEXTILE PARK PVT LTD","AALISHAN ECO TEXTILE PARK PRIVATE LIMITED","Delisted","TOR",NA
"47","SIA/HR/MIS/20418/2017","Already assigned file no. SEIAA/HR/17/347 dated 12","Common Bio Medical Waste Treatment Facility (CBWTF)- Bhiwani, Haryana","M/S MARUTI BIO MEDICAL WASTE PLANT","TOR Granted - Processed offline","TOR",NA
"48","SIA/HR/IND2/52774/2020","To be assigned","Expansion & Modernization of sugar plant  from 2200TCD to 3500 TCD (expandable to 5000 TCD) at Village- Sheikhpura Jagir, Tehsil & District- Karnal, Haryana by M/s The Karnal Co-Operative Sugar Mills Ltd.","KARNAL CO-OPERATIVE SUGAR MILL LTD","TOR Granted - Processed offline","TOR",NA
"49","SIA/HR/IND2/21412/2017","SEIAA/HR/2017/376 dated 27.12.2017","Capacity Expansion of M/s Piccadily Agro Industries Ltd.- Sugar Mill from 5,000 TCD to 10,000 TCD at Village: Bhadson, Umri-Indri Road, Tehsil: Indri, District: Karnal, Haryana","PICCADILY AGRO INDUSTRIES LTD","TOR Granted - Processed offline","TOR",NA
"50","SIA/HR/NCP/25647/2018","SEIAA/HR/18/ 411 dated 23.04.2018.","Proposed Group Housing Colony “Joyville” on Plot area measuring 17.9 Acres in Sector-102, Gurugram Manesar Urban Complex, Gurgaon, Haryana","EVENTUAL BUILDERS PRIVATE LIMITED","TOR Granted - Processed offline","TOR",NA
"51","SIA/HR/NCP/25739/2018","SEIAA/HR/VIO/18/20 dated 20.04.2018. Please submit","EC FOR EXPANSION OF RESIDENTIAL PROJECT “LAVANYA APARTMENT” LOCATED AT SECTOR-81, VILLAGE NAWADA FATEHPUR, GURGAON","GRAPHIC RESEARCH CONSULTANTS (INDIA) PRIVATE LIMITED","TOR Granted - Processed offline","TOR",NA
"52","SIA/HR/NCP/25759/2018","SEIAA/HR/VIO/18/21 dated 23.04.2018. Please submit","Construction of Commercial Complex ""Spaze Corporate Parkk""","SPAZE TOWERS PVT LTD","TOR Granted - Processed offline","TOR",NA
"53","SIA/HR/NCP/16090/2016","SEIAA/HR/16/281 dated 17.06.2016. Please submit ha","Revision & expansion of mixed use development project","TATA REALTY AND INFASTRUCTURE LTD","TOR Granted - Processed offline","TOR",NA
"54","SIA/HR/MIN/10269/2016","SEIAA/HR/MIN/16/162 dated 28.06.2016.","Yamuna River Bed Mining Project having an area of 33.58 Ha with proposed production capacity of 15,20,000 MTPA, at Village Jairampur Jagir, Tehsil Jagdhari, District Yamunanagar, Haryana","BALAJI INFRA","Under examination of SEIAA - Processed offline","TOR",NA
"55","SIA/HR/MIN/17610/2016","SEIAA/HR/MIN/17/168 dated 27.01.2017. Please submi","Mining of  ‘Stone along with Associated Minor Minerals’, in the Revenue Estate of Village-Usmapur, District- Mahendragarh, Haryana","ASTHA INFRA DEVELOPER PVT. LTD","TOR Granted - Processed offline","TOR",NA
"56","SIA/HR/MIS/64268/2021","SEIAA/HR/2021/447","Residential Plotted Colony Project under DDJAY","M/S SIGNATURE GLOBAL DEVELOPERS PVT LTD","TOR Granted","TOR",NA
"57","SIA/HR/MIS/64781/2021","To be assigned","Establishment of Solid Waste Management facility at Village Khurana Kaithal Haryana","M/S PATHEYA","Request for withdraw","TOR",NA
"58","SIA/HR/MIS/68361/2021","SEIAA/HR/2021/479","Expansion of Group Housing Colony","SWETA ESTATES PVT LTD","TOR GRANTED","TOR",NA
"59","SIA/HR/NCP/10144/2016","File no. SEIAA/HR/16/261 dated 26.02.2016.","Expansion of Group Housing Colony","STERLING INFRASTRUCTURE PVT LTD","TOR Granted","TOR",NA
"60","SIA/HR/NCP/6614/2016","File no. SEIAA/HR/16/251 Dated  06.01.2016. You ar","Proposed Construction Of Super Speciality Hospital & Medical College In Revenue Estate Of Village Palvali & Badshahpur at Faridabad","MATA AMRITANANDAMAYI MATH","TOR Granted","TOR",NA
"61","SIA/HR/NCP/51881/2020","SEIAA/HR/2020/267","Expansion of IT / ITES SEZ Project (25.175 acres), Sector 48, Village Tikri, Gurugram , Haryana","CANDOR GURGAON ONE REALTY PROJECT PVT LTD","TOR GRANTED","TOR",NA
"62","SIA/HR/IND2/52621/2020","SEIAA/HR/2020/273 hard copy to be submitted","Proposed Chemical Unit for Manufacturing of Formaldehyde 40 MT per day at Khasra No: 14/12/2, 12/3, 13/1/1 at Village: Kunjal Jattan, Tehsil : Radaur, District: Yamuna Nagar, Haryana","MS R.S. CHEMICALS","TOR Granted","TOR",NA
"63","SIA/HR/NCP/57972/2020","SEIAA/HR/2020/335 hard copy to be submitted","Proposed Plotted Colony on 22.62 acres land under DDJAY Scheme at Village Behrampur & Ullawas, Sector-61, Gurugram","M/S COMMANDER REALTORS PRIVATE LIMITED & OTHERS","TOR Granted","TOR",NA
"64","SIA/HR/NCP/25365/2018","SEIAA/HR/VIO/18/24 dated 23.04.2018. Please submit","Group Housing Project","JAY SHIVA EARTHMOVERS & CONSTRUCTION PVT. LTD.","TOR Granted - Processed offline","TOR",NA
"65","SIA/HR/NCP/17109/2016","SEIAA/HR/16/290 dated 14.09.2016","Revision & Expansion of Group Housing Colony","RAHEJA DEVELOPERS LTD.","TOR Granted","TOR",NA
"66","SIA/HR/NCP/16783/2016","To be assigned","Group Housing Project (22.086 Acres) at Sector-61, Village Ullawas & Behrampur, Gurgaon, Haryana","ADSON SOFTWARE PVT LTD","Delisted","TOR",NA
"67","SIA/HR/MIS/61455/2021","SEIAA/HR/2021/387 hard copy to be submitted","Proposed 1.5 MLD CETP based on Extended Aeration System","HSIIDC NARWANA","TOR GRANTED","TOR",NA
"68","SIA/HR/NCP/36018/2019","SEIAA/HR/19/147 hard copy to be submitted","Approval of Terms of Reference for Building “Horizon on the Highway” in Vanijya Nikunj, Udyog Vihar, Phase V, Gurugram","AADARSHINI REAL ESTATE DEVELOPERS PVT. LTD.","TOR Granted","TOR",NA
"69","SIA/HR/NCP/53280/2020","SEIAA/HR/2020/281","Expansion of International Tech Park Gurugram (ITPG),  IT / ITES, SEZ (63.25 Acres), Village Behrampur, Gurugram (Haryana)","ITPG DEVELOPERS PVT. LTD.","TOR GRANTED","TOR",NA
"70","SIA/HR/MIN/21588/2018","SEIAA/HR/MIN/18/174 dated 23.01.2018","Mining of Boulder,Gravel and Sand Minor Mineral at Natwal Block PKL B 17 by M/s Vishnu Enterprises with Production Capacity of 13,30,000 TPA.","VISHNU ENTERPRISES","TOR Granted - Processed offline","TOR",NA
"71","SIA/HR/NCP/54743/2020","SEIAA/HR/2020/301 hard copy to be submitted","Expansion of Institutional Project NCR Biotech Science Cluster Phase-II","TRANSLATIONAL HEALTH SCIENCE AND TECHNOLOGY INSTITUTE THSTI","TOR GRANTED","TOR",NA
"72","SIA/HR/NCP/53872/2020","SEIAA/HR/2020/284 hard copy to be submitted","Residential Colony Project (New Integrated Licensing Policy)","M/S KARMA LAKELANDS PVT. LTD.","TOR Granted","TOR",NA
"73","SIA/HR/MIS/20990/2017","SEIAA/HR/18/381 dated 23.01.2018. Please submit th","Integrated Municipal Solid waste Processing Facility","BHUNA MUNICIPAL CORPORATION","TOR Granted - Processed offline","TOR",NA
"74","SIA/HR/NCP/24898/2018","SEIAA/HR/VIO/18/19 dated 19.04.2018. Please submit","Hotel, Restaurant & Banquet Hall “Noor Mahal”","M/S JEWELS CLASSIC HOTEL PRIVATE LIMITED","TOR Granted - Processed offline","TOR",NA
"75","SIA/HR/MIS/62859/2021","SEIAA/HR/2021/407 hard copy to be submitted","Warehouse/Industrial Storage/Logistics/Assembling Park","CRYSTAL CITY DEVELOPERS PRIVATE LIMITED","TOR Granted","TOR",NA
"76","SIA/HR/IND3/62888/2021","To be assigned","Formaldehyde Manufacturing Unit of Shri Laxmi Chemical","SHRI  LAXMI CHEMICAL","Delisted","TOR",NA
"77","SIA/HR/MIS/64771/2021","To be assigned","Establishment of Solid Waste Management facility at Meghpur village, Palwal, Haryana","MUNICIPAL COUNCIL PALWAL HARYANA","WithdrawTOR","TOR",NA
"78","SIA/HR/MIS/59951/2021","SEIAA/HR/2020/361 hard copy to be submitted","Remediation and Reclamation of Existing Dumpsite and construction, operation and maintenance of Sanitary Landfill at Village Khurana Kaithal Dumpsite","MUNICIPAL COUNCIL OF KAITHAL","TOR Granted - Processed offline","TOR",NA
"79","SIA/HR/NCP/19708/2017","To be assigned","Expansion of Residential Plotted Colony at Sector- 40, 19-A, Panipat, Haryana","ELDECO INFRASTRUCTURE AND PROPERTIES LIMITED","TOR Granted - Processed offline","TOR",NA
"80","SIA/HR/MIN/4641/2015","SEIAA/HR/MIN/15/131 dated 27.11.2015","River Boulder,Gravel and Sand mining project with a production capacity of 1278000 TPA over an area of 28.40 Ha located at Village -Gobindpur,Tehsil-Raipur Rani,District-Panchkula,Haryana by M/s Gobindpur Royalty Company","M/S GIVINDPUR ROYALTY COMPANY","TOR Granted - Processed offline","TOR",NA
"81","SIA/HR/NCP/16954/2016","SEIAA/HR/16/287
Dated 10.08.2016","Modification of Group Housing Project","M/S. CHINTELS INDIA LTD.","TOR Granted - Processed offline","TOR",NA
"82","SIA/HR/MIN/3006/2015","Hard copy submitted on 20.11.2015. The file no. is","Mining of “Boulder, Gravel and Sand” (Minor Mineral) at Malikpur Khadar Block/ YNR B-28 by Sh. Karaj Singh S/o Sh. Major Singh. The Project falls in category ‘B1’ due to other mining lease exist within 500 m radius of this mining lease area and total area is exceeding 25.00 ha","KARAJ SINGH","TOR Granted - Processed offline","TOR",NA
"83","SIA/HR/NCP/17756/2016","SEIAA/HR/16/309 dated 23.11.2016. Please submit ha","Expansion of “DLF Cyber Park” in Udyog Vihar, Sector 20, Gurgaon, Haryana","DLF CYBER CITY DEVELOPERS LIMITED","TOR Granted","TOR",NA
"84","SIA/HR/NCP/3781/2015","To be assigned","Expansion of Group Housing Colony","SARV REALTORS PVT LTD","Under examination of SEIAA","TOR",NA
"85","SIA/HR/NCP/54168/2020","SEIAA/HR/2020/292","Expansion  of Group Housing project “Vistas” due to Modernization","UNITECH LIMITED","TOR GRANTED","TOR",NA
"86","SIA/HR/MIS/13250/2016","SEIAA/HR/16/280 dated 17.06.2016. 
Please submit","Bio-Medical Waste Management & Treatment Facility","VULCAN WASTE MANAGEMENT PVT LTD","TOR Granted","TOR",NA
"87","SIA/HR/IND3/58718/2020","SEIAA/HR/2020/345","Proposed Project for Manufacturing of Formaldehyde 250 M.T per day at Plot No. 132, Sec-1, Phase-I, Growth Centre Saha (Approved Industrial Area), Ambala, Haryana","M/S SHYAM INDUSTRIES","TOR GRANTED","TOR",NA
"88","SIA/HR/NCP/28344/2018","To be assigned","Residential Plotted Colony","HSVP HISAR","Delisted","TOR",NA
"89","SIA/HR/MIN/3008/2015","Hard copy of information submitted on 20.11.2015.","1	Name of the Project:	Mining of “Boulder, Gravel and Sand” (Minor Mineral) at  Pipli Majra Block/ YNR B-29, 30 and 31, by Sh. Paramjeet Singh S/o Hardeep Singh,  The Project Falls in Category ‘B1’ due to other mining lease exist within 500m radius of this mining lease area and total area is exceeding 25 ha.","SH PARAMJEET SINGH","TOR Granted - Processed offline","TOR",NA
"90","SIA/HR/NCP/43076/2019","SEIAA/HR/19/211 hard copy to be submitted","153.45 Ha (379.182 Acres) ""Residential Township Development Project""","MODEL ECONOMIC TOWNSHIP LIMITED  FORMERLY KNOWN AS RELIANCE HARYANA SEZ LIMITED","TOR Granted - Processed offline","TOR",NA
