"","ID","Dist_Nam_1","Tehsil","tuid","POP_ALIGNED","AREA_ALIGNED","TOT_POP","Area","No_Villages","Per_Pop_Aligned","Per_Area_Aligned"
"1",0,"Sundargarh","Tangarpali",30011,1037,6193736.85430846,63608,331720689.782507,88,0.0163029807571375,0.0186715421892116
"2",1,"Malkangiri","Kalimela",2205,1544,14184982.2378607,111894,1130718596.96952,152,0.0137987738395267,0.012545103862162
"3",2,"Malkangiri","Podia",2203,0,0,56979,754779373.192268,89,0,0
"4",3,"Malkangiri","Korkunda",2204,80388,531068390.826973,174847,970108132.778822,198,0.4597619633165,0.547432160274501
"5",4,"Malkangiri","Malkangiri",2201,19181,164497058.457744,78832,692295417.224096,152,0.243314897503552,0.237611075221802
"6",5,"Malkangiri","Khairaput",2206,37690,410339692.550865,37690,410339692.550865,115,1,1
"7",6,"Koraput","Nandapur",2106,93664,696412769.208878,93664,696412769.208878,247,1,1
"8",7,"Koraput","Pottangi",2104,72595,508529241.264515,72595,508529241.264515,100,1,1
"9",8,"Malkangiri","Mathili",2202,93316,676478408.283513,99983,709568736.633778,171,0.933318664172909,0.953365577368521
"10",9,"Koraput","Lamptaput",2105,60568,624111290.788998,60568,624111290.788998,197,1,1
"11",10,"Gajapati","Paralakhemundi",1101,0,0,84316,255171000.110071,172,0,0
"12",11,"Koraput","Boipariguda",21013,110271,1081625225.93772,110271,1081625225.93772,310,1,1
"13",12,"Koraput","Jeypore",21011,0,0,207148,464716260.961828,131,0,0
"14",13,"Gajapati","Kashinagar",1105,442,905616.308410459,60963,285813664.134529,112,0.00725029936190804,0.00316855497847785
"15",14,"Koraput","Kundra",21014,72587,383144238.954656,72587,383144238.954656,87,1,1
"16",15,"Gajapati","Gumma",1106,0,0,116869,436159264.579982,201,0,0
"17",16,"Gajapati","Rayagada",1102,0,0,66576,564118803.720639,238,0,0
"18",17,"Koraput","Bandhuguda",2108,60168,432112061.744064,60360,433960290.992798,172,0.996819085487078,0.995741017583648
"19",18,"Koraput","Borigumma",21010,62487,264908806.281593,149499,653551715.001069,149,0.417976039973512,0.405337175622222
"20",19,"Rayagada","Gunupur",2706,105739,547216472.376103,106241,549736253.562469,140,0.995274893873363,0.995416381637491
"21",20,"Rayagada","Rayagada",2702,10442,73880146.0906595,203824,867267386.850902,321,0.0512304733495565,0.085187275816888
"22",21,"Nabarangpur","Nandihandi",2301,63143,207488414.01879,63143,207488414.01879,59,1,1
"23",22,"Nabarangpur","Nabarangpur",2308,109821,267439728.64113,109821,267439728.64113,59,1,1
"24",23,"Rayagada","Ramanaguda",27011,50686,362909746.184814,50686,362909746.184814,127,1,1
"25",24,"Gajapati","Nuagada",1107,69,481056.660611883,49857,508970528.116877,164,0.00138395812022384,0.000945156220325229
"26",25,"Rayagada","Kolnara",2704,63511,421571568.531973,64348,430718356.931392,179,0.986992602722695,0.978763876086953
"27",26,"Rayagada","Padamapur",27010,58919,459870666.392262,58919,459870666.392262,133,1,1
"28",27,"Nabarangpur","Kosagumuda",2304,158802,647288406.485807,158802,647288406.485807,125,1,1
"29",28,"Nabarangpur","Tentulikhunti",23010,84782,359580480.725034,84782,359580480.725034,88,1,1
"30",29,"Rayagada","Gudari",2707,51273,508723209.009194,51273,508723209.009194,188,1,1
"31",30,"Ganjam","Chhatrapur",1208,173700,239464121.681963,173700,239464121.681963,88,1,1
"32",31,"Ganjam","Hinjilicut",12012,141905,157250316.552157,141905,157250316.552157,62,1,1
"33",32,"Ganjam","Ganjam",12013,112387,238877198.490209,112387,238877198.490209,115,1,1
"34",33,"Rayagada","Kashipur",2701,941,6238663.28461915,139913,1397036895.11122,480,0.00672560805643507,0.00446563960225436
"35",34,"Nabarangpur","Dabugan",2305,67875,272502586.410144,67875,272502586.410144,76,1,1
"36",35,"Nabarangpur","Papadahandi",2309,134273,613740194.782324,134273,613740194.782324,99,1,1
"37",36,"Ganjam","Sheragada",12020,124829,176669599.353531,124829,176669599.353531,105,1,1
"38",37,"Rayagada","Bissam Cuttack",2705,89061,618259052.88531,89061,618259052.88531,287,1,1
"39",38,"Rayagada","Kalyanisinghpur",2703,68505,579376911.961056,68505,579376911.961056,276,1,1
"40",39,"Kalahandi","Kalampur",16013,69000,181886479.745003,69000,181886479.745003,45,1,1
"41",40,"Ganjam","Kabisuryanagar",12014,140191,171114009.981155,140191,171114009.981155,83,1,1
"42",41,"Rayagada","Chandrapur",2708,43231,864037152.112677,43231,864037152.112677,242,1,1
"43",42,"Ganjam","Aska",12016,140791,193742471.261206,140868,195320012.496861,103,0.999453388988273,0.991923299535522
"44",43,"Ganjam","Buguda",12018,173668,394916392.733101,173668,394916392.733101,138,1,1
"45",44,"Nabarangpur","Jharigaon",2306,155184,897575469.838278,155184,897575469.838278,128,1,1
"46",45,"Puri","Krushnaprasad",2601,0,0,93768,1080846118.53135,135,0,0
"47",46,"Nabarangpur","Chandahandi",2307,63605,241487755.283252,63605,241487755.283252,78,1,1
"48",47,"Puri","Brahmagiri",26011,6982,22103895.8124527,136640,342272278.77074,166,0.051097775175644,0.064579859905214
"49",48,"Khurda","Banpur",2006,139389,465198418.475548,139389,465198418.475548,250,1,1
"50",49,"Ganjam","Beaguntha",12021,122910,205727959.08995,122910,205727959.08995,99,1,1
"51",50,"Kalahandi","Junagarh",1609,265270,873557959.065857,265270,873557959.065857,237,1,1
"52",51,"Puri","Puri Sadar",2606,6466,17109850.6258907,339893,288239328.76689,151,0.0190236339083182,0.0593598753476423
"53",52,"Ganjam","Polasara",12015,127319,484296332.666483,127319,484296332.666483,119,1,1
"54",53,"Rayagada","Muniguda",2709,89966,717582149.850771,89966,717582149.850771,416,1,1
"55",54,"Nabarangpur","Umerkote",2302,120624,491325163.564714,194648,1066420481.06507,111,0.619703259216637,0.46072367540617
"56",55,"Kalahandi","Dharmagarh",1608,97805,240863406.858858,97805,240863406.858858,55,1,1
"57",56,"Puri","Gop",2603,172128,383644201.680305,174726,388475924.482736,220,0.985131005116583,0.987562362303754
"58",57,"Puri","Kakatpur",2608,108721,165579483.105885,108721,165579483.105885,105,1,1
"59",58,"Puri","Astarang",2609,64665,125429263.821261,64665,125429263.821261,78,1,1
"60",59,"Khurda","Tangi",20010,168705,322313008.991585,168705,322313008.991585,208,1,1
"61",60,"Nayagarh","Odagaon",2406,148857,479617722.247601,148857,479617722.247601,209,1,1
"62",61,"Puri","Kanas",2607,147359,210793993.67338,149886,213151670.351876,144,0.983140520128631,0.988938971603627
"63",62,"Nabarangpur","Raighar",2303,0,0,183539,806913153.545659,121,0,0
"64",63,"Kandhamal","Tumudibandha",1708,48385,723549748.388828,48385,723549748.388828,246,1,1
"65",64,"Puri","Nimapada",2602,232970,300766097.011105,232970,300766097.011105,264,1,1
"66",65,"Puri","Delang",2605,125126,209478931.168372,126436,213251112.765113,144,0.989639026859439,0.982311081298338
"67",66,"Kalahandi","Golamunda",16012,118061,553535619.735399,120305,562618145.696169,129,0.981347408669631,0.983856677872464
"68",67,"Jagatsinghpur","Naugaon",1308,93877,143318818.983757,93877,143318818.983757,113,1,1
"69",68,"Nayagarh","Ranapur",2408,186043,653662191.254121,186043,653662191.254121,277,1,1
"70",69,"Puri","Pipili",2604,145887,209068224.905064,146380,210679277.281756,194,0.996632053559229,0.992353057227657
"71",70,"Ganjam","Bhanjanagar",12017,141333,702630999.176103,141333,702630999.176103,128,1,1
"72",71,"Jagatsinghpur","Balikuda",1307,136971,281849490.704101,136971,281849490.704101,201,1,1
"73",72,"Khurda","Balipatna",2002,91284,121598974.525283,91284,121598974.525283,72,1,1
"74",73,"Nuapada","Sinapalli",2505,0,0,95617,620277673.294482,121,0,0
"75",74,"Nayagarh","Nayagarh",2405,178891,316802640.321161,178891,316802640.321161,169,1,1
"76",75,"Kandhamal","G. Udayagiri",1702,40824,226934304.348302,40824,226934304.348302,90,1,1
"77",76,"Cuttack","Niali",803,153812,211753244.408795,153812,211753244.408795,136,1,1
"78",77,"Kalahandi","Narla",1607,88813,577516356.406876,124068,727572428.840702,228,0.715841312828449,0.79375789064338
"79",78,"Jagatsinghpur","Erasama",1305,110197,321653058.299701,110197,321653058.299701,142,1,1
"80",79,"Ganjam","Jagannathprasad",12023,115041,819093318.964691,115041,819093318.964691,154,1,1
"81",80,"Khurda","Bologarh",2008,132711,246315583.902921,132711,246315583.902921,238,1,1
"82",81,"Jagatsinghpur","Jagatsinghpur",1301,161358,172522081.204245,161358,172522081.204245,180,1,1
"83",82,"Khurda","Begunia",2009,127063,311435763.4412,127063,311435763.4412,173,1,1
"84",83,"Khurda","Khurda",2005,142799,235293887.182469,190464,357605596.293764,140,0.749742733534946,0.657970371887528
"85",84,"Kalahandi","Kesinga",1604,19231,59844475.0834392,140391,435184839.291917,120,0.136981715352124,0.137515073321054
"86",85,"Kandhamal","Tikabali",1707,51919,347314322.166418,51919,347314322.166418,157,1,1
"87",86,"Khurda","Jatani",2004,4252,6705893.64096583,156228,237637020.693874,118,0.0272166321017999,0.0282190612446888
"88",87,"Nayagarh","Nuagaon",2407,81630,557778369.434088,81630,557778369.434088,217,1,1
"89",88,"Jagatsinghpur","Tirtol",1306,150827,219213229.825006,150827,219213229.825006,240,1,1
"90",89,"Nayagarh","Bhapur",2404,108527,217932040.861773,108527,217932040.861773,133,1,1
"91",90,"Khurda","Balianta",2003,108555,146084080.276678,108555,146084080.276678,101,1,1
"92",91,"Cuttack","Kantapada",804,88314,122265492.336928,88314,122265492.336928,91,1,1
"93",92,"Cuttack","Baranga",802,54499,66160120.8331226,54499,66160120.8331226,57,1,1
"94",93,"Kandhamal","Chakapad",1704,41824,449343085.489044,41824,449343085.489044,168,1,1
"95",94,"Nayagarh","Khandapada",2403,98969,333907914.810056,98969,333907914.810056,175,1,1
"96",95,"Nuapada","Khariar",2503,0,0,124618,457769144.843279,125,0,0
"97",96,"Jagatsinghpur","Biridi",1303,164022,211544233.364552,164022,211544233.364552,145,1,1
"98",97,"Bolangir","Bangomunda",6012,10695,26581874.2877878,118980,346396294.533803,134,0.0898890569843671,0.0767383332537173
"99",98,"Bolangir","Titilagarh",6010,138859,405492515.537139,141948,408614524.971738,121,0.978238509876856,0.992359524089812
"100",99,"Khurda","Bhubaneswar",2001,916098,220183047.553078,986606,443137548.87304,112,0.92853479504483,0.496872919284394
"101",100,"Nayagarh","Dashapalla",2401,103273,923748923.34823,103273,923748923.34823,430,1,1
"102",101,"Nuapada","Boden",2504,0,0,74184,622410166.652926,88,0,0
"103",102,"Kalahandi","M. Rampur",1605,170527,1338116988.8248,170527,1338116988.8248,404,1,1
"104",103,"Kendrapara","Marshaghai",1805,126697,149326190.744963,126697,149326190.744963,105,1,1
"105",104,"Bolangir","Gudvella",602,51837,240791169.978863,51837,240791169.978863,82,1,1
"106",105,"Cuttack","Tigiria",8013,57086,95254518.7126901,57086,95254518.7126901,45,1,1
"107",106,"Bolangir","Muribahal",6013,13285,35050927.6111047,110551,473445099.876342,154,0.12017078090655,0.0740337741804901
"108",107,"Nayagarh","Gania",2402,36866,408347363.021707,36866,408347363.021707,110,1,1
"109",108,"Bolangir","Saintala",6014,114693,591533924.078067,118818,612178683.585092,146,0.965283037923547,0.966276578945672
"110",109,"Cuttack","Salipur",805,215666,264759433.505411,217567,266371192.174814,200,0.991262461678471,0.993949200526366
"111",110,"Bolangir","Turekela",6011,6210,44101795.9316319,114982,602463757.951803,142,0.0540084534970691,0.07320240487422
"112",111,"Kendrapara","Kendrapara",1803,207374,254772364.381628,207374,254772364.381628,150,1,1
"113",112,"Kendrapara","Pattamundai",1807,211487,288252723.701834,211487,288252723.701834,166,1,1
"114",113,"Cuttack","Athagarh",8010,135347,338497726.876421,135368,340211037.228651,177,0.999844867324626,0.994963977752789
"115",114,"Kandhamal","Khajuripada",17011,51526,634417610.354661,51526,634417610.354661,258,1,1
"116",115,"Bolangir","Deogaon",605,16138,67089575.7541527,100690,452744845.456133,142,0.160274108650313,0.148184074158947
"117",116,"Cuttack","Tangi-Chowdwar",807,63250,208406785.852066,112081,325141108.589339,132,0.564324015667241,0.640973350789945
"118",117,"Kendrapara","Aul",1801,142992,228109963.504731,142992,228109963.504731,138,1,1
"119",118,"Bolangir","Belpara",609,111823,505546204.127912,130143,593548390.606755,130,0.859231768131978,0.851735447570025
"120",119,"Nuapada","Komna",2502,118979,1033634646.48835,127406,1067678426.58309,156,0.933857118189096,0.968114200636518
"121",120,"Kendrapara","Rajkanika",1802,130378,222621198.784659,130378,222621198.784659,153,1,1
"122",121,"Jajpur","Binjharpur",1405,174165,215493704.472898,174165,215493704.472898,120,1,1
"123",122,"Dhenkanal","Dhenkanal Sadar",1001,220251,508810702.148205,220251,508810702.148205,166,1,1
"124",123,"Boudh","Kantamal",702,144456,930952523.868542,144456,930952523.868542,406,1,1
"125",124,"Bolangir","Puintala",606,672,2443957.98522426,110033,338458514.042977,143,0.00610725873147147,0.00722084948028204
"126",125,"Boudh","Harbhanga",703,153058,1159920750.43228,153058,1159920750.43228,381,1,1
"127",126,"Bolangir","Bolangir",601,3074,13656709.81898,205695,515592074.275847,140,0.0149444565983617,0.0264874316350982
"128",127,"Jajpur","Dasarathpur",1402,195148,235175694.300256,195148,235175694.300256,160,1,1
"129",128,"Angul","Angul",101,265679,1211831315.39805,265679,1211831315.39805,287,1,1
"130",129,"Dhenkanal","Gondia",1002,155247,623490101.14515,155247,623490101.14515,202,1,1
"131",130,"Subarnapur","Tarabha",2902,90929,335168082.740632,94701,340517159.775443,181,0.960169375191392,0.984291314310449
"132",131,"Boudh","Boudh",701,144026,1016624718.54122,144026,1016624718.54122,438,1,1
"133",132,"Bolangir","Khaprakhol",608,98070,716239014.075082,100428,725111361.813113,148,0.976520492292986,0.98776415843789
"134",133,"Bolangir","Loisingha",603,952,16533065.861582,105927,337289617.618658,120,0.00898732145722998,0.0490174170741134
"135",134,"Jajpur","Rasulpur",14010,163549,164651595.455578,163549,164651595.455578,168,1,1
"136",135,"Bolangir","Patnagarh",607,156281,623262571.371866,157414,633414615.112158,172,0.992802419098682,0.983972514214099
"137",136,"Angul","Banarpal",102,202842,380152558.889304,202842,380152558.889304,179,1,1
"138",137,"Angul","Athamallik",106,143765,1118975184.30231,143765,1118975184.30231,382,1,1
"139",138,"Subarnapur","Subarnapur",2901,101609,379510900.760736,101609,379510900.760736,174,1,1
"140",139,"Bhadrak","Dhamnagar",503,1303,5521026.52818265,173055,237155733.508626,126,0.00752939816821242,0.0232801731018737
"141",140,"Dhenkanal","Bhuban",1006,121532,261971241.080684,121532,261971241.080684,129,1,1
"142",141,"Dhenkanal","Kamakhyanagar",1005,132554,479331331.915728,132554,479331331.915728,161,1,1
"143",142,"Subarnapur","Biramaharajapur",2905,91942,359911930.248671,91942,359911930.248671,181,1,1
"144",143,"Bolangir","Agalpur",604,7142,35666928.6771352,99830,332511453.698493,119,0.071541620755284,0.107265263438042
"145",144,"Jajpur","Korei",1408,191570,313880406.009013,191570,313880406.009013,214,1,1
"146",145,"Nuapada","Nuapada",2501,135427,728408524.045249,135427,728408524.045249,153,1,1
"147",146,"Bargarh","Gaisilet",308,100581,405676735.582815,102268,413421436.974726,133,0.983504126412954,0.981266812266477
"148",147,"Angul","Kishorenagar",107,80995,826384797.346478,80995,826384797.346478,207,1,1
"149",148,"Bargarh","Padmapur",307,129455,512660188.07595,129455,512660188.07595,159,1,1
"150",149,"Jajpur","Sukinda",1403,122672,499238721.99522,122672,499238721.99522,102,1,1
"151",150,"Subarnapur","Binika",2904,113409,338760572.00188,113409,338760572.00188,106,1,1
"152",151,"Jajpur","Danagadi",1409,127261,342700881.960741,127261,342700881.960741,105,1,1
"153",152,"Bargarh","Paikamala",309,127758,625792996.645905,127758,625792996.645905,136,1,1
"154",153,"Subarnapur","Ulunda",2906,95896,598476314.963666,95896,598476314.963666,245,1,1
"155",154,"Angul","Chhendipada",103,160794,746488404.551114,160984,748537269.495098,196,0.998819758485315,0.997262841774912
"156",155,"Dhenkanal","Kankadahad",1008,106302,889468699.865043,106302,889468699.865043,134,1,1
"157",156,"Bargarh","Jharbandh",3012,79240,523859117.322604,79240,523859117.322604,105,1,1
"158",157,"Bhadrak","Basudevpur",505,250798,413653921.774705,250798,413653921.774705,171,1,1
"159",158,"Bargarh","Bijepur",3011,105432,328667048.880943,107027,339780618.290039,113,0.985097218458894,0.967291926581847
"160",159,"Balasore","Simulia",207,138868,223350841.545318,138868,223350841.545318,175,1,1
