,proposal_no,file_no,proposal_name,state,district,tehsil,date_submission,tor_approval,project_category,company_proponent,status
1,SIA/OR/IND2/29026/2018,29026/535-IND2/09-2018,"Production of 1.08 KLD Mahua Flower Based Country Liquor Manufacturing Unit,  Sarubali Main Out Still Shop at Sarubali Village, Tehsil-Sukruli , Dist –Mayurbhanj, Odisha",Orissa,Mayurbhanj,Karanjia,21-Sep-18, TOR Not Granted Yet,Industrial Projects - 2,NARENDRA KUMAR GUPTA,MoveToTORtoECL
2,SIA/OR/MIN/29151/2018,To be assigned,GALGANDA SAND QUARRY OVER AN AREA 11.59 HA. IN VILLAGE GALGANDA & DURUBHA UNDER NANDAPUR TAHASIL OF KORAPUT DISTRICT.,Orissa,Koraput,Nandapur,21-Sep-18, TOR Not Granted Yet,Non-Coal Mining,DAMBARUDHAR RAMSING,DelistedD
3,SIA/OR/IND2/28984/2018,28984/529-IND2/09-2018,"Production of 3.24 KLD Mahua Flower Based Country Liquor Manufacturing Unit, Lahunipada Main Out Still Shop, at  Lahunipada, Dist: Sundergarh",Orissa,Sundargarh,Sundargarh,19-Sep-18, TOR Not Granted Yet,Industrial Projects - 2,KISHORE CHANDRA DASH,MoveToTORtoECL
4,SIA/OR/IND2/28822/2018,28822/531-IND2/09-2018,"Proposed production of 0.54 KLD Mahua Flower Based Country Liquor, Bankapatuli Main Out Still Shop at Bankapatuli, Tahasil- Ghatgaon, Dist-Keonjhar, Odisha",Orissa,Kendujhar,Ghatgaon,15-Sep-18,14-Dec-18,Industrial Projects - 2,MANJULA DWIBEDI,TOR GrantedL
5,SIA/OR/MIN/28969/2018,To be assigned,"Alanda - Kukuda Limestone & Dolomite Mines over an area of 45.555 ha at Village-Alanda & Kukuda,Dist-Sundargarh",Orissa,Sundargarh,Rajagangapur,12-Sep-18, TOR Not Granted Yet,Non-Coal Mining,BD PATNAIK MINERALS PRIVATE LIMITED,DelistedD
6,SIA/OR/MIN/29021/2018,To be assigned,"PODAGHAT SAND QUARRY, OVER AN AREA 5.100 HA. IN VILLAGE PODAGHAT UNDER KHAIRAPUT TAHASIL OF MALKANGIRI DISTRICT.",Orissa,Malkangiri,Mathili,11-Sep-18, TOR Not Granted Yet,Non-Coal Mining,KALANDI PATRA,DelistedD
7,SIA/OR/MIN/29017/2018,To be assigned,"GOVINDAPALLI SAND QUARRY, OVER AN AREA 5.477 HA. IN VILLAGE GOVINDAPALLI, UNDER KHAIRAPUT TAHASIL OF MALAKANGIRI DISTRICT.",Orissa,Malkangiri,Mathili,11-Sep-18, TOR Not Granted Yet,Non-Coal Mining,PAFULLA CHANDRA RATH,DelistedD
8,SIA/OR/MIN/28675/2018,To be assigned,"Torli Sand Quarry, over an area of 15.00 acre or 6.07 hactare in Village Torli undar Nehena Panchayat in Khariar Tahasil of Nuapada District, Odisha",Orissa,Nuapada,Khariar,08-Sep-18, TOR Not Granted Yet,Non-Coal Mining,PAWAN KUMAR AGRAWAL KHARIAR,DelistedD
9,SIA/OR/MIN/28660/2018,To be assigned,"Chandgiri Sand Quarry, over an area of 13.50 acre or 5.46 hactare in Village Chandgiri undar Saradhapur Panchayat in Khariar Tahasil of Nuapada District, Odisha",Orissa,Nuapada,Khariar,08-Sep-18, TOR Not Granted Yet,Non-Coal Mining,PAWAN KU AGRAWAL,DelistedD
10,SIA/OR/MIN/28671/2018,To be assigned,"Kikiribeda Sand Quarry, over an area of 12.50 acre or 5.05 hactare in Village Kikiribeda under Khudpej Panchayat in Khariar Tahasil of Nuapada District, Odisha",Orissa,Nuapada,Khariar,08-Sep-18, TOR Not Granted Yet,Non-Coal Mining,SMT SUSHILA AGRAWAL,DelistedD
11,SIA/OR/MIN/28926/2018,28926/15-NCP-V/09-2018,Jindal Chromite Mines,Orissa,Jajpur,Sukinda,07-Sep-18,14-Dec-18,Non-Coal Mining,JINDAL STAINLESS LIMITED,TOR GrantedL
12,SIA/OR/IND2/28950/2018,28950/534-IND2/09-2018,"Production of 0.81 KLD Mahua Flower Based Country Liquor Manufacturing Unit ,Main Out Still Liquor Shop Sunger, at Sunger,  Tahasil- Kasipur, Dist-Rayagada",Orissa,Rayagada,Kashipur,06-Sep-18,07-Dec-19,Industrial Projects - 2,MS SHIW PRASAD SAHU AND SONS,TOR GrantedL
13,SIA/OR/IND2/28843/2018,28843/527-IND2/09-2018,"Proposed Production of 1.080 KLD Mahua Flower Based Country Liquor Manufacturing Unit, Sinapali Main Out Still Shop at Sinapali, Tahasil- Sinapali, Dist-Nuapada",Orissa,Nuapada,Sinapali,05-Sep-18, TOR Not Granted Yet,Industrial Projects - 2,RAJESHKUMAR SAHU,MoveToTORtoECL
14,SIA/OR/IND2/28842/2018,28842/526-IND2/09-2018,"Proposed Production of 0.810 KLD Mahua Flower Based Country Liquor Manufacturing Unit, Nilji Main Out Still Shop at Nilji, Tahasil- Sinapali, Dist-Nuapada",Orissa,Nuapada,Sinapali,05-Sep-18, TOR Not Granted Yet,Industrial Projects - 2,RAJESHKUMAR SAHU,MoveToTORtoECL
15,SIA/OR/IND2/28835/2018,28835/523-IND2/09-2018,"Production of 0.540 KLD Mahua Flower Based country Liquor Manufacturing unit, Main Out Still Shop Gorla at Gorla, tehsil: Sinapali, District: Nuapada.",Orissa,Nuapada,Sinapali,05-Sep-18, TOR Not Granted Yet,Industrial Projects - 2,RAJESHKUMAR SAHU,MoveToTORtoECL
16,SIA/OR/IND2/28819/2018,28819/528-IND2/09-2018,"Production of 1.080 KLD Mahua Flower Based country Liquor Manufacturing unit, Main Out Still Shop Binapur at Binapur, Tehsil: Boden, District: Nuapada",Orissa,Nuapada,Boden,05-Sep-18, TOR Not Granted Yet,Industrial Projects - 2,RAJESHKUMAR SAHU,MoveToTORtoECL
17,SIA/OR/IND2/28833/2018,28833/524-IND2/09-2018,"Production of 0.540 KLD Mahua Flower Based country Liquor Manufacturing unit, Main Out Still Shop Gandabahali at Gandabali, tehsil: Khariyar, District: Nuapada.",Orissa,Nuapada,Khariar,05-Sep-18, TOR Not Granted Yet,Industrial Projects - 2,RAJESHKUMAR SAHU,MoveToTORtoECL
18,SIA/OR/IND2/28825/2018,28825/524-IND2/09-2018,"Production of 0.810 KLD Mahua Flower Based country Liquor Manufacturing unit, Main Out Still Shop Hatibandha at Hatibandha, tehsil: Sinapali, District: Nuapada.",Orissa,Nuapada,Sinapali,05-Sep-18, TOR Not Granted Yet,Industrial Projects - 2,RAJESHKUMAR SAHU,MoveToTORtoECL
19,SIA/OR/IND2/28911/2018,28911/533-IND2/09-2018,"Proposed Production of 0.81 KLD Mahua Flower Based Country Liquor Manufacturing Unit, Sikarpai Main Out Still Shop at Sikarpai, Tahasil- K.Singpur, Dist-Rayagada",Orissa,Rayagada,Kalyanasingpur,05-Sep-18,07-Dec-19,Industrial Projects - 2,MS SHIW PRASAD SAHU AND SONS,TOR GrantedL
20,SIA/OR/MIN/28878/2018,28878/25-NCMB1/08-2018,"GHATAPADA GARNET MINE  Over an area of 30.683 hectares in village Ghatapada, PS Kesinga,  district Kalahandi, Odisha.",Orissa,Kalahandi,Kesinga,03-Sep-18,29-Nov-18,Non-Coal Mining,SRI OMPRAKASH JAIN,TOR GrantedL
21,SIA/OR/MIN/28829/2018,28829/2015-NCM/09-2018,"KARLASODA DECORATIVE STONE DEPOSIT OVER AN AREA OF 33.27 ACRES OR 13.464 HECTARES IN VILLAGE KARLASODA,KALAHANDI TAHASIL OF KALAHANDI DISTRICT,ODISHA",Orissa,Kalahandi,Sadar,01-Sep-18,12-Apr-19,Non-Coal Mining,SMT  P  RAMADEVI,TOR GrantedL
22,SIA/OR/MIN/28441/2018,To be assigned,"Tentulia Sand Quarry, over an area of 12.50 acres or 5.059 hectares in village Patugadadharpur under Banki Tahasil of Cuttack district, Odisha.",Orissa,Cuttack,Banki,30-Aug-18, TOR Not Granted Yet,Non-Coal Mining,BHAGIRATHI MANTRY,DelistedD
23,SIA/OR/IND2/28102/2018,28102/522-IND2/08-2018,"Proposed Production of 2.748 KLD Mahua Flower Based Country Liquor Manufacturing Unit, Bhuban Main Out Still Shop at Bhuban, Tahasil- Bhuban, Dist-Dhenkanal",Orissa,Dhenkanal,Bhuban,30-Aug-18, TOR Not Granted Yet,Industrial Projects - 2,RAJESHKUMAR SAHU,MoveToTORtoECL
24,SIA/OR/IND2/28104/2018,28104/563-IND2/08-2018,"Production of 2.004 KLD Mahua Flower Based Country Liquor Manufacturing unit, Main Out Still Liquor Shop Lauloi at Lauloi, Tehsil: Gandia, District : Dhenkanal",Orissa,Dhenkanal,Gandia,30-Aug-18, TOR Not Granted Yet,Industrial Projects - 2,RAJESHKUMAR SAHU,MoveToTORtoECL
25,SIA/OR/IND2/28103/2018,28103/532-IND2/08-2018,"Proposed Production of 2.992 KLD Mahua Flower based Country liqyor Manufacturing Unit, Chabiskuda Main Out Still Shop at Chabiskuda, Tehsil- Gondia, District Dhenkanal",Orissa,Dhenkanal,Gandia,30-Aug-18, TOR Not Granted Yet,Industrial Projects - 2,RAJESHKUMAR SAHU,DelistedL
26,SIA/OR/IND2/28408/2018,28408/517-IND2/08-2018,"Proposed Production of 0.810 KLD Mahua Flower Based Country Liquor Manufacturing Unit, Chergaon Main Out Still Shop at Chergaon, Tahasil- Kegaon, Dist-Dhenkanal",Orissa,Kalahandi,Kegaon,29-Aug-18, TOR Not Granted Yet,Industrial Projects - 2,RAJESHKUMAR SAHU,MoveToTORtoECL
27,SIA/OR/MIN/28690/2018,28690/2013-NCM/08-2018,"BADAMADHAPUR SAND BED, over an area 6.00 Ha.  in village Badamadhapur under Chhatrapur Tahasil of Ganjam District.",Orissa,Ganjam,Chhatrapur,29-Aug-18, TOR Not Granted Yet,Non-Coal Mining,SRIKANT KUMAR PANDA,DelistedL
28,SIA/OR/MIN/28692/2018,28692/2012-NCM/08-2018,"SRIBANA SAND BED, over an area 17.00 ac in village Sribana under Ganjam Tahasil of Ganjam District",Orissa,Ganjam,Chhatrapur,29-Aug-18, TOR Not Granted Yet,Non-Coal Mining,NISHIKANTA NAYAK,DelistedL
29,SIA/OR/MIN/28730/2018,28730/24-NCMB1/08-2018,Ghatapada Garnet Mine Over an area of 25.127 Ha,Orissa,Kalahandi,Kesinga,29-Aug-18,30-Nov-18,Non-Coal Mining,SRI BIJAY KUMAR BANSAL,TOR GrantedL
30,SIA/OR/MIN/28734/2018,28734/23-NCMB1/08-2018,PAIKADAKULGUDA SEMI-PRECIOUS STONE (CAT’S EYE) MINES OVER AN AREA OF 40.946 HA,Orissa,Rayagada,Bishamakatak,29-Aug-18,30-Nov-18,Non-Coal Mining,SRI BIJAY KUMAR BANSAL,TOR GrantedL
31,SIA/OR/IND2/28794/2018,28794/521-IND2/08-2018,Katuria Main O S Shop for production of 0.810 KLD of country Liquor,Orissa,Mayurbhanj,Udala,29-Aug-18, TOR Not Granted Yet,Industrial Projects - 2,ANTARYAMI BEHERA,DelistedL
32,SIA/OR/IND2/28793/2018,28793/520-IND2/08-2018,Champauda O S Main Shop for production of 1.35 KLD of country liquor,Orissa,Mayurbhanj,Rairangpur,29-Aug-18, TOR Not Granted Yet,Industrial Projects - 2,SANJIBKUMARBESHRA,DelistedL
33,SIA/OR/IND2/28233/2018,28233/518-IND2/08-2018,"Proposed Production of 4.020 KLD Mahua Flower Based Country Liquor Manufacturing Unit, Birmitrapur Main Out Still Shop at Birmitrapur, Tahasil- Birmitrapur, Dist-sundargarh",Orissa,Sundargarh,Biramitrapur,28-Aug-18, TOR Not Granted Yet,Industrial Projects - 2,RAJESHKUMAR SAHU,Rejected - Processed offlineL
34,SIA/OR/IND2/28754/2018,To be assigned,Katuria Main O S Shop for production of 0.810 KLD pof country Liquor,Orissa,Mayurbhanj,Udala,28-Aug-18, TOR Not Granted Yet,Industrial Projects - 2,ANTARYAMI BEHERA,DelistedL
35,SIA/OR/MIN/28678/2018,28678/2014-NCM/08-2018,"POTLAMPUR SAND BED, over an area 6.00 Ha. in village Potlampur under Chhatrapur Tahasil of Ganjam District.",Orissa,Ganjam,Chhatrapur,25-Aug-18, TOR Not Granted Yet,Non-Coal Mining,SRIKANTA KUMAR PANDA,DelistedL
36,SIA/OR/IND2/27880/2018,27880/519-IND2/08-2018,"Proposed Production of 1.080 KLD Mahua Flower Based Country Liquor Manufacturing Unit, Balipati Main Out Still Shop at Balipati, Tahasil- Kegaon, Dist-Kalahandi",Orissa,Kalahandi,Kegaon,24-Aug-18, TOR Not Granted Yet,Industrial Projects - 2,RAJESHKUMAR SAHU,MoveToTORtoECL
37,SIA/OR/IND2/26258/2018,To be assigned,Binapur Out Still Shop,Orissa,Nuapada,Boden,13-Aug-18, TOR Not Granted Yet,Industrial Projects - 2,RAJESHKUMAR SAHU,DelistedD
38,SIA/OR/MIN/28606/2018,To be assigned,KARLASODA DECORATIVE STONE DEPOSIT,Orissa,Kalahandi,Sadar,11-Aug-18, TOR Not Granted Yet,Non-Coal Mining,KARLASODA DECORATIVE STONE DEPOSIT,DelistedD
39,SIA/OR/MIN/28483/2018,28483/2011-NCM/08-2018,"Bhograpali & Samasinga, Sand Bed",Orissa,Jharsuguda,Kolabira,02-Aug-18, TOR Not Granted Yet,Non-Coal Mining,TIKESWAR PATEL,MoveToTORtoECL
40,SIA/OR/MIN/28491/2018,28491/2010-NCM/08-2018,Sodamal Sand Bed,Orissa,Jharsuguda,Kolabira,02-Aug-18, TOR Not Granted Yet,Non-Coal Mining,KALACHAND SAHOO,MoveToTORtoECL
41,SIA/OR/IND/28512/2018,To be assigned,NEW LAXMI STEEL & POWER Pvt. Ltd.,Orissa,Khordha,Begunia,02-Aug-18, TOR Not Granted Yet,Industrial Projects - 1,NEW LAXMI STEEL POWER PVT LTD,DelistedD
42,SIA/OR/IND/28499/2018,To be assigned,NEW LAXMI INDUSTRIES PVT. LTD.,Orissa,Khordha,Begunia,01-Aug-18, TOR Not Granted Yet,Industrial Projects - 1,NEW LAXMI INDUSTRIES PRIVATE LIMITED,DelistedD
