,Proposal.No.
366,SIA/OR/MIN/21544/2014
484,SIA/OR/MIN/75556/2018
485,SIA/OR/MIN/406063/2022
486,SIA/OR/MIN/37847/2016
487,SIA/OR/MIN/53181/2016
488,SIA/OR/MIN/37821/2016
489,SIA/OR/MIN/415379/2023
490,SIA/OR/MIN/71162/2017
519,SIA/OR/MIN/41110/2016
520,SIA/OR/MIN/410938/2022
521,SIA/OR/MIN/404896/2022
522,SIA/OR/MIN/75318/2018
523,SIA/OR/IND2/22470/2018
524,SIA/OR/MIN/57560/2016
558,SIA/OR/MIN/38989/2016
559,SIA/OR/MIN/64253/2017
560,SIA/OR/MIN/417345/2023
561,SIA/OR/IND1/416084/2023
588,SIA/OR/IND2/28843/2018
589,SIA/OR/MIN/405270/2022
602,SIA/OR/MIS/30609/2017
603,SIA/OR/IND2/22578/2018
604,SIA/OR/MIN/403548/2022
622,SIA/OR/IND2/22646/2018
623,SIA/OR/MIN/406640/2022
624,SIA/OR/NCP/61411/2016
625,SIA/OR/MIN/67421/2017
626,SIA/OR/MIN/425949/2023
627,SIA/OR/MIN/42359/2016
628,SIA/OR/MIN/428356/2023
631,SIA/OR/IND2/22717/2018
632,SIA/OR/MIN/39341/2016
633,SIA/OR/MIN/51114/2016
634,SIA/OR/IND2/20822/2017
635,SIA/OR/IND2/22668/2018
636,SIA/OR/MIN/69767/2017
637,SIA/OR/MIN/411802/2022
638,SIA/OR/INFRA2/421228/2023
639,SIA/OR/IND2/22712/2018
640,SIA/OR/MIN/41050/2016
642,SIA/OR/MIN/49903/2016
643,SIA/OR/IND2/22154/2018
644,SIA/OR/IND2/22635/2018
645,SIA/OR/IND2/23139/2018
646,SIA/OR/MIN/49888/2016
647,SIA/OR/MIN/52830/2016
648,SIA/OR/MIN/73217/2018
649,SIA/OR/MIN/404229/2022
650,SIA/OR/MIN/48700/2016
651,SIA/OR/MIN/72113/2018
652,SIA/OR/MIN/404638/2022
653,SIA/OR/MIN/50626/2016
677,SIA/OR/MIN/427423/2023
678,SIA/OR/MIN/425438/2023
685,SIA/OR/MIN/414239/2023
686,SIA/OR/MIN/414999/2023
687,SIA/OR/MIN/50539/2016
688,SIA/OR/MIN/405289/2022
689,SIA/OR/IND2/22132/2018
690,SIA/OR/IND2/21874/2018
691,SIA/OR/MIN/404049/2022
692,SIA/OR/IND2/20959/2017
693,SIA/OR/MIN/411163/2023
694,SIA/OR/IND2/20960/2017
695,SIA/OR/MIN/41171/2016
696,SIA/OR/IND2/21204/2017
697,SIA/OR/MIN/404045/2022
698,SIA/OR/IND2/27931/2018
699,SIA/OR/MIN/41293/2016
700,SIA/OR/MIN/419203/2023
707,SIA/OR/MIN/70823/2017
708,SIA/OR/IND2/21713/2018
709,SIA/OR/MIN/42364/2016
712,SIA/OR/IND2/22700/2018
713,SIA/OR/INFRA2/419536/2023
714,SIA/OR/IND2/22221/2018
715,SIA/OR/MIN/41246/2016
716,SIA/OR/IND2/23219/2018
717,SIA/OR/MIN/403266/2022
718,SIA/OR/INFRA2/401840/2022
719,SIA/OR/MIN/50689/2016
720,SIA/OR/MIN/52563/2016
721,SIA/OR/MIN/48701/2016
725,SIA/OR/MIN/38638/2016
726,SIA/OR/MIN/41768/2016
727,SIA/OR/MIN/405921/2022
735,SIA/OR/MIN/416477/2023
740,SIA/OR/IND2/22689/2018
741,SIA/OR/IND2/22119/2018
742,SIA/OR/MIN/67015/2017
743,SIA/OR/MIN/42372/2016
744,SIA/OR/MIN/429091/2023
745,SIA/OR/MIN/66101/2017
746,SIA/OR/MIN/403928/2022
748,SIA/OR/MIN/406199/2022
750,SIA/OR/MIN/53063/2016
751,SIA/OR/MIN/91435/2019
752,SIA/OR/MIN/50937/2016
753,SIA/OR/MIN/403597/2022
754,SIA/OR/MIN/415329/2023
755,SIA/OR/IND2/72543/2018
756,SIA/OR/MIN/423806/2023
757,SIA/OR/MIN/39814/2016
758,SIA/OR/IND2/26127/2018
759,SIA/OR/MIN/37820/2016
761,SIA/OR/MIN/19640/2017
762,SIA/OR/MIN/23191/2018
763,SIA/OR/IND/61592/2017
764,SIA/OR/IND2/22715/2018
765,SIA/OR/MIN/37829/2016
766,SIA/OR/MIN/61920/2017
767,SIA/OR/MIN/425349/2023
768,SIA/OR/MIN/423758/2023
769,SIA/OR/IND2/21782/2018
770,SIA/OR/MIN/413007/2023
771,SIA/OR/MIN/39153/2016
772,SIA/OR/MIN/417555/2023
773,SIA/OR/MIN/38645/2016
774,SIA/OR/MIN/63225/2017
775,SIA/OR/MIN/427240/2023
776,SIA/OR/MIN/59287/2016
777,SIA/OR/IND2/20961/2017
778,SIA/OR/IND2/23868/2018
784,SIA/OR/MIN/404283/2022
785,SIA/OR/IND/26143/2017
786,SIA/OR/MIN/418748/2023
787,SIA/OR/MIN/11314/2016
788,SIA/OR/MIN/420418/2023
789,SIA/OR/MIN/48844/2016
790,SIA/OR/IND2/72553/2018
791,SIA/OR/MIN/38944/2016
792,SIA/OR/MIN/22028/2018
793,SIA/OR/IND2/26033/2018
794,SIA/OR/IND2/21930/2018
795,SIA/OR/MIN/41037/2016
796,SIA/OR/MIN/48131/2016
797,SIA/OR/MIN/48841/2016
798,SIA/OR/MIN/414044/2023
799,SIA/OR/MIN/66095/2017
800,SIA/OR/MIN/41507/2016
801,SIA/OR/MIN/24562/2013
802,SIA/OR/MIN/53335/2016
803,SIA/OR/MIN/30153/2015
804,SIA/OR/IND2/22682/2018
805,SIA/OR/MIN/50687/2016
806,SIA/OR/IND2/29039/2018
807,SIA/OR/MIN/65547/2017
808,SIA/OR/MIS/30182/2015
809,SIA/OR/IND2/22684/2018
810,SIA/OR/MIN/20016/2017
811,SIA/OR/IND2/23159/2018
812,SIA/OR/MIN/58090/2016
813,SIA/OR/NCP/18067/2016
814,SIA/OR/MIN/420617/2023
815,SIA/OR/MIN/50685/2016
816,SIA/OR/MIN/60361/2016
828,SIA/OR/IND2/27898/2018
829,SIA/OR/MIN/50691/2016
830,SIA/OR/MIN/407314/2022
831,SIA/OR/MIN/49301/2016
832,SIA/OR/MIN/52241/2016
833,SIA/OR/NCP/27747/2017
834,SIA/OR/MIN/61783/2017
835,SIA/OR/MIN/428069/2023
836,SIA/OR/MIN/64313/2017
837,SIA/OR/IND2/21627/2018
838,SIA/OR/IND2/27912/2018
839,SIA/OR/IND2/21902/2018
840,SIA/OR/IND2/21628/2018
841,SIA/OR/MIN/402949/2022
842,SIA/OR/MIN/64786/2017
843,SIA/OR/MIN/17415/2013
844,SIA/OR/MIN/409591/2022
845,SIA/OR/MIN/418109/2023
846,SIA/OR/IND2/26177/2018
847,SIA/OR/IND2/20767/2017
848,SIA/OR/MIN/61819/2017
851,SIA/OR/MIN/42648/2016
852,SIA/OR/MIN/36394/2015
853,SIA/OR/NCP/76032/2018
854,SIA/OR/IND2/21880/2018
855,SIA/OR/MIN/58091/2016
856,SIA/OR/MIN/33081/2015
857,SIA/OR/MIN/418750/2023
858,SIA/OR/MIN/49650/2016
859,SIA/OR/MIN/402897/2022
860,SIA/OR/MIN/32816/2015
861,SIA/OR/IND2/20921/2017
862,SIA/OR/IND2/22688/2018
863,SIA/OR/MIN/419187/2023
864,SIA/OR/IND/52363/2016
865,SIA/OR/MIN/48702/2016
866,SIA/OR/MIN/411155/2022
867,SIA/OR/IND2/26174/2018
871,SIA/OR/IND2/21632/2018
872,SIA/OR/IND2/22673/2018
873,SIA/OR/MIN/414480/2023
874,SIA/OR/MIN/414569/2023
875,SIA/OR/MIN/65548/2017
876,SIA/OR/MIN/41123/2016
877,SIA/OR/IND2/29275/2018
878,SIA/OR/MIN/75049/2018
879,SIA/OR/IND2/22679/2018
880,SIA/OR/MIN/49607/2016
881,SIA/OR/IND2/26074/2018
882,SIA/OR/MIN/408219/2022
883,SIA/OR/MIN/48136/2016
884,SIA/OR/MIN/50819/2016
885,SIA/OR/MIN/73395/2018
886,SIA/OR/MIN/52045/2016
887,SIA/OR/IND2/21829/2018
888,SIA/OR/MIN/407326/2022
889,SIA/OR/MIN/35208/2015
890,SIA/OR/MIN/50978/2016
891,SIA/OR/MIN/39352/2016
892,SIA/OR/MIN/58235/2016
893,SIA/OR/IND2/21911/2018
894,SIA/OR/MIN/52610/2016
895,SIA/OR/MIN/51539/2016
896,SIA/OR/MIN/48843/2016
897,SIA/OR/MIN/63252/2017
898,SIA/OR/MIN/60004/2021
899,SIA/OR/IND/20976/2017
900,SIA/OR/IND2/22437/2018
901,SIA/OR/MIN/52738/2016
902,SIA/OR/MIN/401834/2022
903,SIA/OR/IND2/22267/2018
904,SIA/OR/IND2/22303/2018
910,SIA/OR/MIN/42360/2016
911,SIA/OR/MIN/414504/2023
912,SIA/OR/IND2/22683/2018
913,SIA/OR/IND2/22685/2018
914,SIA/OR/IND2/21151/2017
915,SIA/OR/IND2/22690/2018
916,SIA/OR/MIN/42964/2016
917,SIA/OR/MIN/417156/2023
918,SIA/OR/MIN/422247/2023
919,SIA/OR/MIN/50683/2016
920,SIA/OR/MIN/423509/2023
921,SIA/OR/MIN/50811/2016
922,SIA/OR/MIN/49465/2016
923,SIA/OR/MIN/41242/2016
924,SIA/OR/MIN/408631/2022
925,SIA/OR/IND2/22319/2018
926,SIA/OR/MIN/30665/2015
927,SIA/OR/IND/88597/2018
928,SIA/OR/MIN/406683/2022
929,SIA/OR/MIN/406061/2022
930,SIA/OR/MIN/80960/2018
931,SIA/OR/IND2/22629/2018
932,SIA/OR/MIN/74590/2018
933,SIA/OR/MIN/416320/2023
934,SIA/OR/MIN/41187/2016
937,SIA/OR/MIN/51259/2016
938,SIA/OR/MIN/72437/2018
939,SIA/OR/MIN/35667/2015
940,SIA/OR/INFRA2/403552/2022
941,SIA/OR/MIN/28491/2018
942,SIA/OR/MIN/35918/2015
943,SIA/OR/MIN/39018/2016
944,SIA/OR/MIN/75639/2018
945,SIA/OR/MIN/415181/2023
948,SIA/OR/MIN/57564/2016
949,SIA/OR/IND2/21709/2018
950,SIA/OR/NCP/30050/2015
951,SIA/OR/MIN/421885/2023
955,SIA/OR/MIN/420486/2023
956,SIA/OR/MIN/419334/2023
957,SIA/OR/IND2/22404/2018
958,SIA/OR/MIN/73018/2018
959,SIA/OR/IND2/23126/2018
960,SIA/OR/MIN/42362/2016
961,SIA/OR/MIN/35894/2015
962,SIA/OR/MIN/63221/2017
963,SIA/OR/MIN/63716/2017
964,SIA/OR/MIN/402397/2022
965,SIA/OR/MIN/64098/2017
966,SIA/OR/IND2/21653/2018
967,SIA/OR/IND2/22723/2018
968,SIA/OR/NCP/62518/2017
969,SIA/OR/IND2/21900/2018
970,SIA/OR/IND2/22686/2018
971,SIA/OR/MIN/33100/2015
972,SIA/OR/MIN/58088/2016
973,SIA/OR/MIN/424054/2023
974,SIA/OR/IND2/23165/2018
975,SIA/OR/NCP/64357/2017
976,SIA/OR/MIN/49867/2016
977,SIA/OR/IND2/22133/2018
978,SIA/OR/MIN/42253/2016
979,SIA/OR/MIN/25803/2018
980,SIA/OR/MIN/37844/2016
981,SIA/OR/IND2/20946/2017
982,SIA/OR/MIN/40995/2016
983,SIA/OR/MIN/38266/2016
984,SIA/OR/IND2/21749/2018
985,SIA/OR/MIN/41772/2016
986,SIA/OR/MIN/41177/2016
987,SIA/OR/MIN/39219/2016
988,SIA/OR/IND2/22174/2018
989,SIA/OR/MIN/404971/2022
990,SIA/OR/MIN/404148/2022
991,SIA/OR/MIN/414594/2023
992,SIA/OR/MIN/423320/2023
993,SIA/OR/MIN/419386/2023
994,SIA/OR/MIN/36743/2015
995,SIA/OR/MIN/38681/2016
996,SIA/OR/MIN/63373/2017
997,SIA/OR/IND2/22714/2018
998,SIA/OR/MIN/37822/2016
999,SIA/OR/MIN/37843/2016
1000,SIA/OR/MIN/83367/2018
1001,SIA/OR/NCP/23686/2018
1002,SIA/OR/IND2/28408/2018
1003,SIA/OR/IND2/26148/2018
1004,SIA/OR/MIN/74639/2018
1005,SIA/OR/IND2/28066/2018
1006,SIA/OR/IND2/24096/2018
1007,SIA/OR/MIN/410834/2022
1008,SIA/OR/MIN/57565/2016
1009,SIA/OR/MIN/50481/2016
1013,SIA/OR/MIN/75791/2018
1014,SIA/OR/MIN/417044/2023
1015,SIA/OR/MIN/422850/2023
1016,SIA/OR/MIN/53972/2016
1017,SIA/OR/IND2/22142/2018
1018,SIA/OR/IND2/22701/2018
1019,SIA/OR/MIN/53417/2016
1020,SIA/OR/MIN/419854/2023
1021,SIA/OR/MIN/64714/2017
1022,SIA/OR/MIN/407350/2022
1023,SIA/OR/MIN/18112/2013
1024,SIA/OR/MIN/417021/2023
1025,SIA/OR/MIN/69792/2017
1026,SIA/OR/MIN/61120/2016
1027,SIA/OR/MIN/410974/2022
1028,SIA/OR/MIN/71449/2017
1029,SIA/OR/MIN/22128/2018
1030,SIA/OR/MIN/406868/2022
1031,SIA/OR/IND2/24087/2018
1032,SIA/OR/MIN/409230/2022
1033,SIA/OR/MIN/425695/2023
1034,SIA/OR/MIN/422858/2023
1035,SIA/OR/IND2/22665/2018
1036,SIA/OR/IND2/21815/2018
1037,SIA/OR/MIN/42373/2016
1038,SIA/OR/IND2/26059/2018
1039,SIA/OR/MIN/37832/2016
1040,SIA/OR/IND2/21159/2017
1041,SIA/OR/IND2/22473/2018
1042,SIA/OR/MIN/407678/2022
1043,SIA/OR/MIN/64246/2017
1044,SIA/OR/MIN/404617/2022
1045,SIA/OR/NCP/76195/2018
1047,SIA/OR/MIN/428951/2023
1048,SIA/OR/MIN/402094/2022
1049,SIA/OR/MIN/405402/2022
1050,SIA/OR/IND2/23158/2018
1051,SIA/OR/MIN/75051/2018
1052,SIA/OR/MIN/38995/2016
1053,SIA/OR/MIN/50290/2016
1054,SIA/OR/IND2/23834/2018
1055,SIA/OR/IND2/21882/2018
1056,SIA/OR/MIN/42084/2016
1057,SIA/OR/IND2/23164/2018
1058,SIA/OR/MIN/37846/2016
1059,SIA/OR/MIN/42374/2016
1060,SIA/OR/MIN/412021/2022
1061,SIA/OR/MIN/422043/2023
1062,SIA/OR/IND2/28102/2018
1063,SIA/OR/MIN/48138/2016
1064,SIA/OR/MIN/50534/2016
1065,SIA/OR/IND2/21626/2018
1066,SIA/OR/IND2/29167/2018
1067,SIA/OR/MIN/404201/2022
1068,SIA/OR/MIN/63503/2017
1069,SIA/OR/MIN/51263/2016
1070,SIA/OR/MIN/41101/2016
1071,SIA/OR/MIN/424804/2023
1072,SIA/OR/IND2/25914/2018
1073,SIA/OR/MIN/405971/2022
1074,SIA/OR/IND2/23168/2018
1075,SIA/OR/MIN/42646/2016
1076,SIA/OR/MIS/30292/2017
1077,SIA/OR/MIN/70338/2017
1078,SIA/OR/MIN/405459/2022
1079,SIA/OR/MIN/41295/2016
1080,SIA/OR/MIN/23514/2018
1081,SIA/OR/IND2/23260/2018
1082,SIA/OR/MIN/50516/2016
1083,SIA/OR/IND2/27932/2018
1084,SIA/OR/IND2/21784/2018
1085,SIA/OR/MIN/64513/2017
1086,SIA/OR/MIN/61827/2017
1087,SIA/OR/MIN/412210/2022
1088,SIA/OR/MIN/49973/2016
1089,SIA/OR/MIN/426984/2023
1090,SIA/OR/MIN/403362/2022
1091,SIA/OR/NCP/75603/2018
1092,SIA/OR/IND2/21778/2018
1093,SIA/OR/MIN/61914/2017
1094,SIA/OR/MIN/414684/2023
1095,SIA/OR/MIN/406056/2022
1096,SIA/OR/MIN/421763/2023
1097,SIA/OR/IND2/23240/2018
1098,SIA/OR/IND2/28174/2018
1099,SIA/OR/IND2/28175/2018
1100,SIA/OR/MIN/59706/2016
1101,SIA/OR/MIN/408132/2022
1102,SIA/OR/IND2/29144/2018
1103,SIA/OR/MIN/419372/2023
1104,SIA/OR/MIN/64717/2017
1105,SIA/OR/MIN/402825/2022
1106,SIA/OR/MIN/421749/2023
1107,SIA/OR/MIN/401915/2022
1108,SIA/OR/MIN/50693/2016
1109,SIA/OR/MIN/70432/2017
1110,SIA/OR/IND2/21793/2018
1111,SIA/OR/MIN/423377/2023
1112,SIA/OR/MIN/410946/2022
1113,SIA/OR/MIN/64315/2017
1114,SIA/OR/MIN/418108/2023
1115,SIA/OR/MIN/422673/2023
1116,SIA/OR/MIN/22367/2018
1117,SIA/OR/MIN/403300/2022
1118,SIA/OR/MIN/403187/2022
1119,SIA/OR/MIN/80362/2018
1120,SIA/OR/MIN/39063/2016
1121,SIA/OR/MIN/417606/2023
1122,SIA/OR/MIN/423182/2023
1123,SIA/OR/IND2/22402/2018
1124,SIA/OR/INFRA2/418440/2023
1125,SIA/OR/MIN/42962/2016
1126,SIA/OR/MIN/406035/2022
1127,SIA/OR/MIN/70864/2017
1128,SIA/OR/MIN/402438/2022
1129,SIA/OR/IND2/22676/2018
1130,SIA/OR/MIN/402711/2022
1131,SIA/OR/MIN/35661/2015
1132,SIA/OR/MIN/405805/2022
1133,SIA/OR/IND/28741/2017
1134,SIA/OR/IND2/28184/2018
1135,SIA/OR/MIN/403052/2022
1136,SIA/OR/MIN/42975/2016
1137,SIA/OR/MIN/37745/2016
1138,SIA/OR/MIN/60465/2016
1139,SIA/OR/MIN/37824/2016
1140,SIA/OR/MIN/75894/2018
1141,SIA/OR/MIN/20910/2017
1142,SIA/OR/IND2/26123/2018
1143,SIA/OR/IND2/28270/2018
1144,SIA/OR/IND2/21206/2017
1145,SIA/OR/MIN/49297/2016
1146,SIA/OR/MIN/50695/2016
1147,SIA/OR/MIN/403071/2022
1148,SIA/OR/MIN/65190/2017
1149,SIA/OR/MIN/51925/2016
1150,SIA/OR/MIN/405261/2022
1151,SIA/OR/MIN/35638/2015
1152,SIA/OR/IND2/23226/2018
1153,SIA/OR/MIN/61188/2016
1154,SIA/OR/NCP/54923/2016
1155,SIA/OR/MIN/38263/2016
1156,SIA/OR/MIN/422822/2023
1157,SIA/OR/MIN/59309/2016
1158,SIA/OR/MIN/73310/2018
1159,SIA/OR/MIN/400290/2022
1160,SIA/OR/MIN/37825/2016
1161,SIA/OR/IND2/28784/2017
1162,SIA/OR/MIN/49883/2016
1163,SIA/OR/IND2/23873/2018
1164,SIA/OR/MIN/39132/2016
1165,SIA/OR/MIN/403663/2022
1166,SIA/OR/MIN/75609/2018
1167,SIA/OR/IND2/22324/2018
1168,SIA/OR/IND2/26067/2018
1169,SIA/OR/MIN/72347/2018
1170,SIA/OR/MIN/61780/2017
1171,SIA/OR/MIN/84160/2018
1172,SIA/OR/MIN/38622/2016
1173,SIA/OR/MIN/42201/2016
1174,SIA/OR/MIN/42363/2016
1175,SIA/OR/MIN/429004/2023
1176,SIA/OR/MIN/418635/2023
1177,SIA/OR/MIN/425326/2023
1178,SIA/OR/MIN/49889/2016
1179,SIA/OR/MIN/70950/2017
1180,SIA/OR/MIN/11068/2012
1181,SIA/OR/MIN/422188/2023
1182,SIA/OR/MIN/37845/2016
1183,SIA/OR/MIN/39051/2016
1184,SIA/OR/IND2/17336/2016
