proposal_no,project_name,project_sector,date_of_submission,Submitted by Proponent,Query for Shortcoming(if any) by SEIAA,Resubmission of Proposal by Proponent,Accepted by SEIAA and forwarded to SEAC,Query for Shortcoming(if any) by SEAC,Resubmission of Proposal by Proponent_1,Accepted by SEAC,Forwarded to SEIAA for EC,EC Letter Uploaded On/EC Granted
SIA/OR/MIN/48909/2018,Capacity enhancement of Mahaparbat (Unchabali) Iron Ore Mine,Non-Coal Mining,31 Dec 2019,29/12/2019,31/12/2019,31/12/2019,28/01/2020,N/A,N/A,31/01/2020,01/11/2020,01/01/1900
SIA/OR/MIN/41890/2019,Expansion of existing iron ore production capacity from 0.864 MTPA to 2.99 MTPA by M/s Geetarani Mohanty,Non-Coal Mining,09 Jun 2020,09/06/2020,N/A,N/A,10/08/2020,N/A,N/A,14/08/2020,01/11/2020,01/01/1900
SIA/OR/IND2/156736/2020,Oil&Gas Exploratory Block Project MN-ONHP-2018/4,Industrial Projects - 2,11 Sep 2020,11/09/2020,N/A,N/A,20/11/2020,N/A,N/A,27/11/2020,28/12/2020,01/01/1900
SIA/OR/MIN/253692/2022,Cluster Approach (Jamudiha Stone Quarry over 1.16 Acres and Jamudiaha Stone Quarry over 1.49 Acres) Over an area of 2.65 Acre or 1.072 Hectares in village Jamudiha under Nilgiri Tahasil of Balasore District of Odisha.,Non-Coal Mining,28 Jan 2022,28/01/2022,N/A,N/A,30/01/2022,N/A,N/A,22/02/2022,06/03/2022,31/03/2022
SIA/OR/MIS/253803/2022,"Environment Clearance of Proposed Residential Project [B+S+12 multi storied Residential apartment with one block of B+G+3 Storied Commercial and G+2 Storied Community Hall ] over Revenue Plot No. 1380 & 1390 of Mouza Nuahat,Thana - Cuttack Sadar No-",INFRA-2,09 Apr 2022,28/01/2022,29/01/2022,09/04/2022,12/04/2022,N/A,N/A,27/04/2022,N/A,N/A
SIA/OR/MIN/76853/2020,"For the grant of EC of Anjira Black Stone quarry No-9 (Cluster Serial No-1A/10), (Khata No-1729, Plot No-1343(p)1385(p)) over an area of 10.40 acres or 4.208 hacters in village Anjira under Dharmasala Tahasil of Jajpur District, Odisha.",Non-Coal Mining,11 May 2022,11/05/2022,N/A,N/A,22/06/2022,N/A,N/A,24/06/2022,N/A,06/06/2023
SIA/OR/MIN/272281/2022,Mantrajholla Stone Quarry,Non-Coal Mining,11 May 2022,11/05/2022,26/06/2022,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SIA/OR/MIN/272036/2022,Proposal for Grant of Environmental Clearance of Sunarijore B Stone Quarry over an area of 2.00 Acres or 0.809 Hects. in village Sunarijore under Deogaon Tahasil in Balangir District,Non-Coal Mining,26 Oct 2022,10/05/2022,21/10/2022,26/10/2022,29/10/2022,N/A,N/A,30/11/2022,N/A,20/01/2023
SIA/OR/MIN/250540/2022,"Sahapur Stone Quarry over an area of 7.300 acres or 2.954 hectares bearing Khata no. 1404, Plot no. 3026 in Sahapur village of Hinjilicut Tahasil, District- Ganjam State Odisha.",Non-Coal Mining,07 Jan 2022,07/01/2022,N/A,N/A,26/01/2022,N/A,N/A,22/02/2022,05/03/2022,31/03/2022
SIA/OR/MIS/137014/2020,Proposed Housing Project (Residential Use Type) of Utkal Realtors Pvt. Ltd.,INFRA-2,15 Jan 2020,15/01/2020,N/A,N/A,19/02/2020,N/A,N/A,17/03/2020,15/11/2021,03/01/2022
SIA/OR/MIN/63851/2021,Jariput and Jayamangalpur Cluster,Non-Coal Mining,25 Jan 2023,12/06/2021,27/01/2023,25/01/2023,N/A,N/A,N/A,N/A,N/A,N/A
SIA/OR/MIN/240679/2021,"DURGAPURKUDA-II SAND QUARRY(BRAHMANI RIVER)OVER AN AREA OF 12.30 ACRES OR 4.977HA. IN VILLAGE DURGAPURKUDA UNDER RASULPUR TAHSIL OF JAJPUR DISTRICT, ODISHA.",Non-Coal Mining,04 Jan 2022,25/11/2021,29/12/2021,04/01/2022,20/01/2022,N/A,N/A,22/02/2022,24/03/2022,07/04/2022
SIA/OR/MIN/257652/2022,Proposal for grant of Environmental Clearance of Mahulkhunt Morrum Quarry over an area of 2.970 Acres or 1.202 Hectares in village Mahulkhunt under Sonepur tahasil of Subarnapur district.,Non-Coal Mining,08 Apr 2022,21/02/2022,05/04/2022,08/04/2022,06/05/2022,N/A,N/A,20/05/2022,N/A,30/07/2022
SIA/OR/MIS/275332/2022,Diamond City Cuttack,INFRA-2,06 Jul 2022,23/06/2022,05/07/2022,06/07/2022,07/07/2022,N/A,N/A,22/07/2022,N/A,N/A
SIA/OR/MIN/227873/2021,LABDERA STONE QUARRY OVER 11.00 ACRES OR 4.452 HECTARES IN VILLAGE LABDERA UNDER MANESWAR TAHASIL OF SAMBALPUR DISTRICT ODISHA,Non-Coal Mining,05 Sep 2021,05/09/2021,N/A,N/A,02/11/2021,N/A,N/A,09/11/2021,06/02/2022,18/02/2022
SIA/OR/MIN/244990/2021,TARKABEDA BLACK STONE QUARRY OVER AN AREA OF 2.428 HA UNDER HINDOL TAHASIL OF DHENKANAL DISTRICT ODISHA,Non-Coal Mining,28 Oct 2022,14/12/2021,29/10/2022,28/10/2022,N/A,N/A,N/A,N/A,N/A,N/A
SIA/OR/MIN/58504/2020,"Brahmani River Sand Quarry, Jatia of Tahasildar, Parjang over a mining lease area of 14.94 acres/6.046 Ha. located in village- Jatia, Tahasil- Parjang in District- Dhenkanal",Non-Coal Mining,13 Jul 2022,13/07/2022,N/A,N/A,18/07/2022,N/A,N/A,22/07/2022,N/A,03/12/2022
SIA/OR/MIN/245145/2021,"Proposal for grant of fresh EC of KUILARIJORE STONE QUARRY-II, over an area 11.68Ac or 4.726Ha in Kuilarijore village of Jamankira Tahasil of Sambalpur District.",Non-Coal Mining,15 Dec 2021,15/12/2021,21/12/2021,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SIA/OR/MIN/245700/2021,Mahammadnagar Patna (Ga) Sand Bed Over an area of 11.50 Acres or 4.653 hectares in village Mahammadnagar Patna under Jaleswar Tahasil of Balasore District of Odisha.,Non-Coal Mining,17 Dec 2021,17/12/2021,N/A,N/A,22/12/2021,N/A,N/A,01/02/2022,06/02/2022,N/A
SIA/OR/MIN/247389/2021,"BRUNDABAN CHANDRAPUR MORRUM QUARRY, OVER AN AREA0.710 Ha. KHATA NO: 220, PLOT NO: 1564, AT: BRUNDABAN CHANDRAPUR, TAHASIL: CHIKITI, DIST: GANJAM, ODISHA.",Non-Coal Mining,10 Feb 2022,25/12/2021,02/02/2022,10/02/2022,13/03/2022,N/A,N/A,11/04/2022,19/04/2022,06/05/2022
SIA/OR/MIN/242676/2021,MANTRAJHOLLA- IV STONE QUARRY,Non-Coal Mining,04 Dec 2021,04/12/2021,08/12/2021,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SIA/OR/MIN/245508/2021,"Jankia Morrum Quarry-2 over an area of 2.00 Acres or 0.809 hectares in village Jankia of Ranapur Tahasil of Nayagarh District of Odisha of Tahasildar,Ranpur",Non-Coal Mining,06 Jan 2022,17/12/2021,22/12/2021,06/01/2022,26/01/2022,N/A,N/A,22/02/2022,05/03/2022,30/03/2022
SIA/OR/MIN/245527/2021,Proposal for grant of Environmental Clearance of Pastipada Sand Bed-II over an area of 2.00 Acres or 0.809 Hects. in village Pastipada under Kalahandi Tahasil in Kalahandi district.,Non-Coal Mining,02 Feb 2022,17/12/2021,29/01/2022,27/01/2022,N/A,N/A,N/A,N/A,N/A,N/A
SIA/OR/MIN/228164/2021,"BUDHABALANGA SAND BED,BELPAL OVER AN AREA OF 12.35 ACRES OR 5.00 HECTARES IN VILLAGE BELPAL UNDER BADASAHI TAHASIL OF MAYURBHANJ DISTRICT ODISHA",Non-Coal Mining,06 Dec 2021,08/09/2021,22/09/2021,06/12/2021,08/12/2021,N/A,N/A,01/01/2022,11/01/2022,31/01/2022
SIA/OR/MIN/227398/2021,KALACHUA NEW BUILDING STONE QUARRY (TA),Non-Coal Mining,09 Sep 2021,02/09/2021,06/09/2021,09/09/2021,02/11/2021,N/A,N/A,05/11/2021,05/11/2021,19/11/2021
