,index,project_number,file_number,project_name,company,proposal_status,project_type
0,,SIA/WB/IND/105345/2019,EN/T-II-1/012/2019,"PROPOSED EXPANSION OF CAPACITY OF STANDALONE CEMENT GRINDING UNIT FROM 1.6 MTPA TO 2 MTPA, AT MOHITNAGAR, NEAR JALPAIGURI, WEST BENGAL",STAR CEMENT LIMITED,EC Granted,EC
1,,SIA/WB/IND/19745/2016,EN/T-II-1/091/2018,"Expansion of Existing Cement Grinding Unit from 3.6 MTPA to 4.8 MTPA to produce Portland Slag Cement (PSC), Portland Pozzolana Cement (PPC), Ordinary Portland Cement (OPC), Composite Cement & Ground Granulated Blast Furnace Slag (GGBS) at Salboni, District: Paschim Medinipur (West Bengal) by M/s. JSW Cement Ltd.",JSW CEMENT LTD,EC Granted,EC
2,,SIA/WB/IND/208916/2021,,"Expansion of existing Cement Grinding Plant from 0.96 MTPA (2 x 600 TPD Ball mill + 1 x 2000 TPD VRM) to 1.2596 MTPA under Clause 7 II (b) of EIA Notification, 2006 by process optimization, increasing the number of working hours per day and annual wo",RASHMI CEMENT LIMITED,Delisted,EC
3,,SIA/WB/IND/219918/2021,,"Proposed Upgradation & Expansion of Existing Rolling Mill at NH-2, Delhi Road, Mouza- Belumilky, Vill: Chotobelu, Payarapur, Block: Serampore, Dist: Hooghly, West Bengal",BRAND ALLOYS PVT. LTD.,WithdrawEC,EC
4,,SIA/WB/IND/220466/2021,,Rolling mill steel plant,M/S GREAT EASTERN INFRACON (P) LTD.,WithdrawEC,EC
5,,SIA/WB/IND/220476/2021,,Rolling Mill Steel Plant,M/S GREAT EASTERN INFRACON (P) LTD.,WithdrawEC,EC
6,,SIA/WB/IND/221205/2021,,Expansion of Rolling Mill Steel Plant,M/S GREAT EASTERN INFRACON (P) LTD.,WithdrawEC,EC
7,,SIA/WB/IND/226566/2021,,Environmental Clearance for Rolling Mill Plant for MS Round / MS Flat production of M/s Bamlia Steel Udyog (P) Ltd. at Village: Dakshin Bansai; P.O: Raghunathpur; P.S: Uttarpara;  Dist.: Hooghly; West Bengal; PIN - 712245,BAMLIA STEEL UDYOG (P) LIMITED,Delisted,EC
8,,SIA/WB/IND/227505/2021,,Rolling Mill Steel Plant,M/S GREAT EASTERN INFRACON (P) LTD.,Delisted,EC
9,,SIA/WB/IND/29902/2016,,"Expansion from 90,000 TPA steel billets and 1,62,000 TPA wire rods to 1,92,000 TPA wire rods and 60,000 TPA HB wires.",SUPERSHAKTI METALIKS LIMITED,Delisted,EC
10,,SIA/WB/IND/31555/2019,EN/T-II-1/020/2019,"Installation of 2 X 20 MT Induction Furnaces with Continuous Caster and 1,48,800MT/Annum Rolling Mill",SHREE RAMDOOT ROLLERS PVT LTD,EC Granted,EC
11,,SIA/WB/IND/34029/2016,EN/T-II-1/069/2018,"Proposed expansion of existing Plant by additional installation of 4x15 T Induction Furnaces along with 1,00,000 TPA capacity Rolling Mill",CALSTAR SPONGE LIMITED,EC Granted,EC
12,,SIA/WB/IND/35205/2018,EN/T-II-1/106/2018,"Expansion from 90,000 TPA steel billets and 1,62.000 TPA Wire rods to 1,92,000 TPA Wire rods and 60,000 TPA HB wire",SUPERSHAKTI METALIKS LIMITED,EC Granted,EC
13,,SIA/WB/IND/36650/2018,EN/T-II-1/102/2018,"Enhancement in production capacity from  1,56,000 TPA to 2, 46,000 TPA of coke oven plant of M/s Metakik Fuel Private Limited, J.L no. 115, Mouza-Amba, Vill: Gokulpur, P.O: Samraipur, Kharagpur, Dist:",METALIK FUEL PRIVATE LIMITED,EC Granted,EC
14,,SIA/WB/IND/41755/2018,EN/T-II-1/066/2018,"Setting up DI Pipe Manufacturing Unit of capacity 97,200 MT/ Annum",KEJRIWAL CASTINGS LIMITED,EC Granted,EC
15,,SIA/WB/IND/41967/2018,EN/T-II-1/067/2018,Installation of 4 No. 15 MT Induction Furnaces with Ladle Refining Furnace and Continuous Caster and Rolling Mill and Wire Block Mill with installed capacity 600 TPD,RATTAN ISPAT PRIVATE LIMITED,EC Granted,EC
16,,SIA/WB/IND/43110/2018,EN/T-II-1/099/2018,"Environmental Clearance for Proposed set up of Induction Furnace, Rolling Mill Plant & Wire Rod Mill for manufacturing of billets, TMT Bars & wire rods of M/s Amiya Steel Private Limited - Unit II at ",AMIYA STEEL PRIVATE LIMITED,EC Granted,EC
17,,SIA/WB/IND/50308/2019,,"Installation of 2 X 20 MT Induction Furnaces and 1,48,800 MT/Annum Rolling Mill",SHREE RAMDOOT ROLLERS PVT LTD,WithdrawEC,EC
18,,SIA/WB/IND/56059/2019,EN/T-II-1/020/2019,"Installation of 2 X 20 MT Induction Furnaces with Continuous Caster and 1,48,800 MT/Annum Rolling Mill",SHREE RAMDOOT ROLLERS PVT LTD,Delisted,EC
19,,SIA/WB/IND/57057/2019,EN/T-II-I/019/2019,"Installation of 2x10 Tonnes lnduction Furnaces with Ladle Refining Furnace, Continuous Caster and 3000 MT/Month Rolling Mill",RUHR ISPAT PVT LTD,EC Granted,EC
20,,SIA/WB/IND/57255/2018,,"Proposed Expansion of Existing Steel Plant by installation of additional 2x10 tonne Induction Furnace, 1x10 tonne Ladle refining Furnace, 1 no. 2 strand continous Caster and rolling mill of capacity 120000 TPA by M/S Expandable Enterprises Pvt. Ltd.",EXPANDABLE ENTERPRISES (P) LTD.,WithdrawEC,EC
21,,SIA/WB/IND/57318/2018,EN/T-II-1/053/2018,"Proposed expansion of Steel Melting Shop Project of M/s R.S. Concast Limited, AT:  Bamunara Industrial Estate, P.O. Bamunara, P.S.  Kanksa , Dist : Paschim  Burdwan, West Bengal",R S CONCAST LIMITED,EC Granted,EC
22,,SIA/WB/IND/58870/2018,EN/T-II-1/003/2018,"Proposed Expansion of Existing Steel Plant by installation of additional 2x10 tonneInduction Furnace, 1x10 tonne Ladle refining Furnace, 1 no. 2 strand continous Casterand rolling mill of capacity 120000 TPA by M/S Expandable Enterprises Pvt. Ltd.",EXPANDABLE ENTERPRISES (P) LTD.,Delisted,EC
23,,SIA/WB/IND/58900/2020,EN/T-II-1/066/2020,"Expansion of Cement Production Capacity of Existing Stand-alone Clinker Grinding Unit (2.0 to 5.0 MTPA) at Sonar Bangla Cement Works, Village: Dhalo, P.O: Gankar, Block: Raghunathganj-I, District: Murshidabad (West Bengal) by M/s. UltraTech Cement Limited (Unit: Sonar Bangla Cement Works).",M/s. UltraTech Cement Ltd.,EC Granted,EC
24,,SIA/WB/IND/60630/2021,EN/T-II-1/088/2021,"Expansion of production from 36,000TPA with 3x50 TPD Kiln to 58,500 TPA with the installation of 3x65 TPD Preheaters", ARYAVRATA STEEL PRIVATE LIMITED,EC Granted,EC
25,,SIA/WB/IND/61179/2019,,"Proposed expansion of existing Steel Plant by installation of 3x15 T Induction Furnaces instead of 2x8 T Induction Furnaces with matching LRF & CCM and by increasing Rolling Mill capacity from 48,000 TPA to 96,000 TPA and setting up a Galvanizing unit of 160 MT/day",GAJANAN IRON PRIVATE LIMITED,WithdrawEC,EC
26,,SIA/WB/IND/61186/2021,EN/T-II-1/057/2021,"Proposed 56,000 TPA GREEN FIELD Coal Tar Distillation Plant for production of 30,800 TPA of Coal Tar Pitch; 22,120 TPA of Creosote Oil (light and heavy) and 1680 TPA of Crude Naphthalene",B S TAR PVT. LTD.,Transfered SEIAA To MOEFCC,EC
27,,SIA/WB/IND/61389/2019,EN/T-II-1/054/2019,"Expansion Project by Installation of 1 x 8 Ton Induction Furnace with production capacity of 24,960 Tons/Annum at JL No. 22, WBIDC Plasto Steel Park, Village – Kadasole, PO – Ghutgoria, PS – Barjora, District – Bankura, Pin 722202, West Bengal.",SURYA ALLOY INDUSTRIES LIMITED,Delisted,EC
28,,SIA/WB/IND/61399/2014,EN/T-II-1/058/2019,"Proposed Expansion of existing Steel Plant by installation of 3x15 T Induction Furnaces instead of 2x8 T Induction Furnaces with matching LRF & CCM and by increasing Rolling Mill capacity from 48,000 TPA to 96,000 TPA and setting up a Galvanising Unit of 160 MT/day capacity",GAJANAN IRON PRIVATE LIMITED,EC Granted,EC
29,,SIA/WB/IND/61664/2019,EN/T-II-1/052/2019,"Proposed expansion of MS Billet/Ingot and TMT BAR from 92,160 MTPA to 2,00,160 MTPA installing 3 nos of induction furnace with capacity of 12 MT each",HR ISPAT PVT LTD,EC Granted,EC
30,,SIA/WB/IND/61759/2019,EN/T-II-1/076/2019,"Proposed Expansion for Production of M.S. Ingots/Billets by installation of Induction Furnace at Village: Suboljote, P.O Nemai, Via Matigara, P.S –Matigara, Darjeeling, by North East Ferro Alloys’ Co. Pvt. Ltd",NORTH EAST FERRO ALLOYS CO PVT LTD,Delisted,EC
31,,SIA/WB/IND/66688/2010,,"Proposed Expansion of the existing Steel Plant by installation of 4x30 T Induction Furnaces with 1x40T LRF & two (2-strand each) CCM and enhancement of the capacity of the Rolling Mill from 2,22,000 TPA to 5,02,000 TPA",ADHUNIK INDUSTRIES LTD,WithdrawEC,EC
32,,SIA/WB/IND/67558/2010,EN/T-II-1/156/2021,"Proposed Expansion of the existing Steel Plant by installation of 4x30 T Induction Furnaces with 1x40T LRF & two (2-strand each) CCM and enhancement of the capacity of the Rolling Mill from 2,22,000 TPA to 5,02,000 TPA",ADHUNIK INDUSTRIES LTD,Transfered SEIAA To MOEFCC,EC
33,,SIA/WB/IND/69795/2019,EN/T-II-1/021/2019,Installation of 2 No. 10 MT Induction Furnaces,C.P. RE-ROLLERS LIMITED,EC Granted,EC
34,,SIA/WB/IND/70202/2018,,"Proposed Expansion of Cast Iron Casting Product at Kulgachia, P.O. Mahishrekha, P.S. Uluberia & District – Howrah, West Bengal",CRESCENT FOUNDRY COMPANY PRIVATE LIMITED,Pending at PP due to eds,EC
35,,SIA/WB/IND/78453/2018,,"Proposed Expansion of Cast Iron Casting Product at Kulgachia, P.O Mahishrekha, P.S Uluberia & District – Howrah, West Bengal.",CRESCENT FOUNDRY COMPANY PRIVATE LIMITED,Delisted,EC
36,,SIA/WB/IND2/152174/2020,EN/T-II-1/013/2020,"Exploratory drilling (10 wells) in NELP VII block WB-ONN-2005/4 situated in North 24 Parganas and Nadia districts, West Bengal.",HSE MBA BASIN,EC Granted,EC
37,,SIA/WB/IND2/207364/2021,EN/T-II-1/112/2021,PROPOSED MANUFACTURING OF PHARMA INTERMEDIATE AND ACTIVE PHARMACEUTICAL INTERMEDIATE (API) / BULK DRUGS,AURIO PHARMA LABORATORIES PVT. LTD,Delisted,EC
38,,SIA/WB/IND2/240548/2021,EN/T-II-1/018/2022,"Proposed Grain-based Distillery Unit for production of 160 KLD Anhydrous Ethanol along with Captive Power Plant (4.4 MW) of M/s. Pratishtha Spirits Private Limited at Plot No. A9 & A10 near WBIDC Office, Panagarh Industrial Park, Paschim Bardhhaman, ",PRATISHTHA SPIRITS PRIVATE LIMITED,WithdrawEC,EC
39,,SIA/WB/IND2/254703/2022,EN/T-II-1/020/2022,O2 Chemicals Private Limited, O2 CHEMICALS PRIVATE LIMITED,Transfered SEIAA To MOEFCC,EC
40,,SIA/WB/IND2/277881/2022,EN/T-II-1/042/2022,"Proposed Onshore Exploratory drilling of 7 wells in Bengal Onshore OALP-III Block BP-ONHP-2018/1 situated in North 24 Parganas and South 24 Parganas districts, West Bengal by M/s. ONGC Limited, MBA Basin", OIL AND NATURAL GAS CORPORATION LIMITED,EC Granted,EC
41,,SIA/WB/IND2/278404/2022,EN/T-II-1/043/2022,"Drilling of 20 Shale gas Exploratory Wells in Raniganj (South) CBM Block, West Bengal by Great Eastern Energy Corporation Limited",M/S. GREAT EASTERN ENERGY CORPORATION LTD,EC Granted,EC
42,,SIA/WB/IND2/28964/2006,EN/T-II-1/081/2018,Proposed Expansion of PTA manufacturing capacity by setting up a plant of 1.25 MTPA capacity.,MCPI,EC Granted,EC
43,,SIA/WB/IND2/38362/2018,,Establishment of one LPG yard (storage facility) consisting of 2 nos. 10 MT Bullet,EXIDE INDUSTRIES LIMITED,Pending at PP due to eds,EC
44,,SIA/WB/IND2/42446/2018,EN/T-II-1/071/2019,TANDHAN BIOCHEMICALS PRIVATE LIMITED,TANDHAN BIOCHEMICALS PRIVATE LIMITED,EC Granted,EC
45,,SIA/WB/IND2/44360/2016,EN/T-II-1/010/2020,"Proposed 200 KLPD Grain Based Distillery along with 5.0 MW Co-Generation Power Plant at Village Jorsha & Teghoria, Tehsil Mejhia, District Bankura (West Bengal) by Ankoor Distilleries Private Limited",ANKOOR DISTILLERIES PRIVATE LIMITED,Delisted,EC
46,,SIA/WB/IND2/99131/2019,,Sai Fertilizers Pvt. Ltd.,SAI FERTILIZERS PVT LTD,Delisted,EC
47,,SIA/WB/IND3/247368/2021,EN/T-II-1/017/2022,"Proposed Expansion of existing Bulk Drug Manufacturing Unit (API) of M/s. East India Pharmaceutical Works Limited at Raturia, Waria Road, P.O – Durgapur-15, P.S. – Coke Oven, District – Paschim Burdwan , PIN – 713215", EAST INDIA PHARMACEUTICAL WORKS LIMITED,Delisted,EC
48,,SIA/WB/IND3/72391/2020,EN/T-II-1/021/2020,"Proposed Synthetic Resin Production Plant (UF Resin, PF Resin & MF Resin) for Laminate Manufacturing Unit of M/s Intim Laminates Pvt. Ltd.",M/S INTIM LAMINATES PVT. LTD.,EC Granted,EC
49,,SIA/WB/MIN/125834/2019,,PALSARA BLACK STONE MINE,WEST BENGAL MINERAL DEVELOPMENT AND TRADING CORPORATION LIMITED,Delisted,EC
50,,SIA/WB/MIN/133590/2019,EN/T-II-1/01/2020,Palsara Black Stone Mine,WEST BENGAL MINERAL DEVELOPMENT AND TRADING CORPORATION LIMITED,Delisted,EC
51,,SIA/WB/MIN/141542/2020,EN/T-II-1/009/2020,PALSARA BLACK STONE MINE,WEST BENGAL MINERAL DEVELOPMENT AND TRADING CORPORATION LIMITED,EC Granted,EC
52,,SIA/WB/MIN/166218/2020,EN/T-II-1/033/2020,"Malbagicha Sand Mine (Area- 1.14 Hectares) on Silabati River on Plot No. 48(P), 56, 57(P), 58(P), 59, 60, 61(P), & 62(P)",ATAUR RAHAMAN MONDAL,Delisted,EC
53,,SIA/WB/MIN/166284/2020,EN/T-II-1/040/2020,Bhattagram Sand Mine (Area- 0.80 Hectares) on Silabati River on Plot No. 680(P),MR. BABLU SARKAR,Delisted,EC
54,,SIA/WB/MIN/166343/2020,EN/T-II-1/030/2020,"Bhalukmura Sand Mine (Area- 2.02 Hectares) on Silabati River on Plot No. 16(P), 63(P) & 77(P)",PRASANTA KARAK,Delisted,EC
55,,SIA/WB/MIN/166404/2020,EN/T-II-1/034/2020,"Baranda Sand Mine (Area- 0.90 Hectares) on Silabati River on Plot No. 1(P), Mouza-Baranda, P.S-Garhbeta, Dist-Paschim Medinipur.",ATAUR RAHAMAN MONDAL,Delisted,EC
56,,SIA/WB/MIN/166445/2020,EN/T-II-1/036/2020,"Bhimbar Sand Mine (Area: 0.88 ha) on Kangshabati River Plot No. 392(P) & 393(P),, P.S. Keshpur, District- Paschim Medinipore",SWAPAN DAS BHOWMIK,Delisted,EC
57,,SIA/WB/MIN/166486/2020,EN/T-II-1/025/2020,"River Bed Sand Mining by M/s Excel Movers at Bhagabankhali 1, Purba Medinipur, West bengal",EXCEL MOVERS,Delisted,EC
58,,SIA/WB/MIN/166540/2020,EN/T-II-1/031/2020,"MOLDANGA SAND MINE (AREA- 0.42 HECTARES) ON SILABATI RIVER ON Plot No.- 473(P), MOUZA- MOLDANGA, P.S. - GARHBETA, DISTRICT- PASCHIM MEDINIPUR, STATE- WEST BENGAL",PRASANTA KARAK,Delisted,EC
59,,SIA/WB/MIN/166548/2020,,"Chhotapasha Sand Mine (Area: 1.42ha) on Kangshabati River on Plot No. 266 (P), P.S. Keshpur, District Paschim Medinipore",SHEIKH MURSED ALI,Delisted,EC
60,,SIA/WB/MIN/167675/2020,EN/T-II-1/039/2020,"BHATPARA SAND MINE (AREA-2.30 HECTARES) ON KANGSHABATI RIVER ON Plot No.-172(P)& 194(P),LOCATED AT MOUZA- BHATPARA, P.S. - MEDINIPUR, DISTRICT- PASCHIM MEDINIPUR, STATE- WEST BENGAL,JL NO. 84",SUBHRANGSU KUMAR GHOSH,Delisted,EC
61,,SIA/WB/MIN/167774/2020,EN/T-II-1/038/2020,"NALDUMRA SAND MINE (AREA- 5.00 HECTARES) ON KANGSHABATI RIVER ON Plot No.-46(P).LOCATED AT MOUZA- NALDUMRA, P.S. - MIDNAPORE, DISTRICT- PASCHIM MEDINIPUR, STATE- WEST BENGAL, JL NO. 82",SHEIKH FIROZUDDIN,Delisted,EC
62,,SIA/WB/MIN/168432/2020,EN/T-II-1/037/2020,"CHAKMANSUR SAND MINE (AREA- 2.16HECTARES) ON KANGSHABATI RIVER ON Plot No.-193(P) LOCATED AT MOUZA- CHAKMANSUR, P.S. -KESHPUR, DISTRICT- PASCHIM MEDINIPUR, STATE- WEST BENGAL,JL NO. 617",SEK BARIK,Delisted,EC
63,,SIA/WB/MIN/171096/2020,EN/T-II-1/035/2020,"RAGHUNATHPUR SAND MINE (AREA- 4.89 HECTARES) ON KANGSHABATI RIVER ON Plot No.-1041(P), 1003(P) & 1002(P), MOUZA- RAGHUNATHPUR, P.S. -MIDNAPORE, DISTRICT- PASCHIM MEDINIPUR, STATE- WEST BENGAL,JL NO. 271",SK. REJABUL,Delisted,EC
64,,SIA/WB/MIN/171781/2020,EN/T-II-1/022/2020,"Granite Stone Quarry Upardanga Nort Block at  Talsankra,Purulia, WestBengal",M/S TODI MINERALS,EC Granted,EC
65,,SIA/WB/MIN/172750/2020,EN/T-II-1/068/2020,Sk Sajahan Propitor,SK SAJAHAN PROPITOR,Delisted,EC
66,,SIA/WB/MIN/172808/2020,EN/T-II-1/069/2020,Manik Bera Proprietor,MANIK BERA PROPRIETOR,Delisted,EC
67,,SIA/WB/MIN/172925/2020,EN/T-II-1/067/2020,Suvendu Debnath proprietor,SUVENDU DEBNATH PROPRIETOR,Delisted,EC
68,,SIA/WB/MIN/173919/2020,,Riverbed Materials From Damodar River,SABIR ANSARI,Delisted,EC
69,,SIA/WB/MIN/174437/2020,EN/T-II-1/061/2020,Rajab Brick Field,SK. RAHIM,Delisted,EC
70,,SIA/WB/MIN/174530/2020,EN/T-II-1/024/2020,SAND MINING PROJECT AT RIVERBED OF KANGSABATI RIVER,SABIR ANSARI,Delisted,EC
71,,SIA/WB/MIN/175087/2020,EN/T-II-1/029/2020,"CHAKDAULAT SAND MINE (AREA- 1.47 HECTARES) ON KANGSHABATI RIVER ON Plot No.- 324(P), MOUZA- CHAKDAULAT, P.S. - MEDINIPUR, DISTRICT- PASCHIM MEDINIPUR, STATE- WEST BENGAL, JL NO. -285",IYAMIN MONDAL,Delisted,EC
72,,SIA/WB/MIN/175223/2020,EN/T-II-1/001/2021,"Subarnarekha river bed sand mining possesses by Srikanta Mondal over an area  4.99 hectare/ 5.00 Hectare at mouza - Dangariai, Dist - Jhargram for ordinary sand mining",SRIKANTA MONDAL - MGB 162,Delisted,EC
73,,SIA/WB/MIN/177481/2020,EN/T-II-1/023/2020,AMILASAI SAND MINE ON SUBARNAREKHA RIVER,VARIETY VYAPAAR PRIVATE LIMITED,Delisted,EC
74,,SIA/WB/MIN/177970/2020,EN/T-II-1/056/2020,ULIARA SAND MINE OF M/S BASU AGROFARMS PRIVATE LIMITED,"MS BASU AGROFARMS PRIVATE LIMITED,  ULIARA SAND MINE (DWARAKESHWAR RIVER)",Delisted,EC
75,,SIA/WB/MIN/179490/2020,,Dakhsin Rasulpur Brick Earth Mining project,CRYSTAL CONSULTANTS,Delisted,EC
76,,SIA/WB/MIN/179541/2020,,Bagbari Brick Soil Mining Project,CRYSTAL CONSULTANTS,Delisted,EC
77,,SIA/WB/MIN/179547/2020,,Bagbari Brick Soil Mining Project,CRYSTAL CONSULTANTS,Delisted,EC
78,,SIA/WB/MIN/179956/2020,,Gopiballavpur - I Sand Block MGB - 123 of Ashok kr. Bala,ASHOK KR. BALA,Delisted,EC
79,,SIA/WB/MIN/179964/2020,,Anail Brick Earth,CRYSTAL CONSULTANTS,Delisted,EC
80,,SIA/WB/MIN/180009/2020,,Brick Earth Mine Mouza Adna,CRYSTAL CONSULTANTS,Delisted,EC
81,,SIA/WB/MIN/180117/2020,EN/T-II-1/043/2020,Gopiballavpur - I Sand Block MGB - 123 of Ashok kr. Bala.,ASHOK KR. BALA,Delisted,EC
82,,SIA/WB/MIN/180162/2020,,Brick Earth Mine Mouza – Bahuthar,CRYSTAL CONSULTANTS,Delisted,EC
83,,SIA/WB/MIN/180186/2020,,Purba Bejpura Brick Earth,CRYSTAL CONSULTANTS,Delisted,EC
84,,SIA/WB/MIN/180294/2020,,Kamancha Brick Earth Mine,CRYSTAL CONSULTANTS,Delisted,EC
85,,SIA/WB/MIN/180347/2020,,Kumarganj Brick Soil Mining Project,CRYSTAL CONSULTANTS,Delisted,EC
86,,SIA/WB/MIN/180373/2020,,Brick earth Mine on Mouza – Laliabari,CRYSTAL CONSULTANTS,Delisted,EC
87,,SIA/WB/MIN/180560/2020,EN/T-II-1/041/2020,Gopiballavpur - I Sand Block MGB - 124 of  Ezaharul Hossain,EZAHARUL HOSSAIN,Delisted,EC
88,,SIA/WB/MIN/180576/2020,EN/T-II-1/042/2020,Gopiballavpur - I Sand Block MGB - 125 of Sk. Karim.,SK. KARIM,Delisted,EC
89,,SIA/WB/MIN/181121/2020,EN/T-II-1/002/2021,Subarnarekha river bed project by Sushanta Mondal,SUBRANAREKHA RIVER BED MINING BY SUSHANTA MONDAL,WithdrawEC,EC
